CBF,In,Out,N�,Clube
160313,00:00 - 1T,45:00 - 2T,1,핯UIANEGRA/MS
146153,00:00 - 1T,45:00 - 2T,1,Paysandu/PA
165808,00:00 - 1T,45:00 - 2T,2,핯UIANEGRA/MS
364829,00:00 - 1T,45:00 - 2T,2,Paysandu/PA
339285,00:00 - 1T,45:00 - 2T,3,핯UIANEGRA/MS
173742,00:00 - 1T,45:00 - 2T,3,Paysandu/PA
412006,00:00 - 1T,45:00 - 2T,4,핯UIANEGRA/MS
368008,00:00 - 1T,45:00 - 2T,4,Paysandu/PA
159116,00:00 - 1T,45:00 - 2T,5,핯UIANEGRA/MS
146969,00:00 - 1T,45:00 - 2T,5,Paysandu/PA
303799,00:00 - 1T,45:00 - 2T,6,핯UIANEGRA/MS
367990,00:00 - 1T,45:00 - 2T,6,Paysandu/PA
151855,00:00 - 1T,45:00 - 2T,7,핯UIANEGRA/MS
295956,00:00 - 1T,45:00 - 2T,7,Paysandu/PA
179346,00:00 - 1T,45:00 - 2T,8,핯UIANEGRA/MS
161201,00:00 - 1T,25:00 - 2T,8,Paysandu/PA
172140,00:00 - 1T,45:00 - 2T,9,핯UIANEGRA/MS
355362,00:00 - 1T,18:00 - 2T,9,Paysandu/PA
168542,00:00 - 1T,45:00 - 2T,10,핯UIANEGRA/MS
184989,00:00 - 1T,36:00 - 2T,10,Paysandu/PA
161078,00:00 - 1T,45:00 - 2T,11,핯UIANEGRA/MS
181396,00:00 - 1T,45:00 - 2T,11,Paysandu/PA
367918,18:00 - 2T,45 - 2T,18,Paysandu/PA
364826,25:00 - 2T,45 - 2T,15,Paysandu/PA
368163,36:00 - 2T,45 - 2T,17,Paysandu/PA
