CBF,Time,Type,Game
346745,15:00 - 1T,PN,001
308002,13:00 - 2T,NR,002
508210,03:00 - 1T,NR,003
181099,06:00 - 1T,NR,004
338920,+1 - 1T,FT,005
304171,+2 - 2T,PN,005
305776,+1 - 1T,NR,007
160781,23:00 - 2T,NR,007
373768,28:00 - 1T,NR,008
291432,10:00 - 2T,NR,009
175913,19:00 - 1T,PN,014
443663,08:00 - 1T,NR,015
325581,15:00 - 1T,PN,017
298941,15:00 - 1T,NR,019
172400,02:00 - 2T,NR,020
181845,07:00 - 2T,NR,021
383352,30:00 - 2T,PN,022
304373,+1 - 2T,NR,023
166508,11:00 - 1T,NR,024
403182,06:00 - 2T,NR,027
291732,32:00 - 1T,NR,028
173504,44:00 - 1T,NR,029
522895,26:00 - 2T,NR,030
400906,23:00 - 2T,NR,031
145923,31:00 - 1T,NR,032
324707,05:00 - 1T,NR,035
185444,09:00 - 1T,NR,036
337180,35:00 - 1T,NR,038
336531,20:00 - 1T,NR,040
305521,32:00 - 1T,NR,041
551944,+2 - 2T,FT,041
300968,03:00 - 1T,NR,042
304373,04:00 - 1T,NR,043
307674,01:00 - 2T,NR,047
502361,09:00 - 1T,NR,048
459300,37:00 - 1T,NR,049
302795,45:00 - 1T,NR,052
145923,27:00 - 1T,PN,053
190137,+3 - 1T,PN,054
389378,01:00 - 2T,NR,054
185444,28:00 - 1T,PN,055
438556,05:00 - 1T,NR,056
172400,30:00 - 2T,NR,057
325581,02:00 - 2T,NR,058
633582,34:00 - 1T,NR,060
508210,03:00 - 2T,NR,061
292357,09:00 - 1T,NR,062
297781,11:00 - 1T,NR,063
169835,26:00 - 1T,NR,064
148961,21:00 - 1T,PN,065
356563,35:00 - 2T,NR,067
330015,37:00 - 2T,NR,068
178294,19:00 - 1T,NR,069
339225,26:00 - 1T,NR,071
155541,43:00 - 2T,NR,072
181803,+8 - 2T,NR,073
646477,03:00 - 2T,NR,074
316763,45:00 - 1T,NR,075
155840,33:00 - 1T,NR,078
633531,44:00 - 1T,NR,079
441648,02:00 - 2T,NR,081
307134,18:00 - 1T,NR,082
355362,34:00 - 1T,NR,083
292833,25:00 - 1T,NR,084
646471,16:00 - 1T,NR,086
521065,01:00 - 1T,NR,087
293420,33:00 - 2T,NR,092
379462,12:00 - 2T,NR,093
540090,+3 - 2T,NR,093
178704,+1 - 2T,FT,096
298642,27:00 - 2T,NR,097
420184,25:00 - 1T,NR,098
420184,40:00 - 2T,NR,099
178875,14:00 - 2T,NR,100
312950,39:00 - 1T,NR,101
399284,39:00 - 1T,NR,102
316645,43:00 - 2T,NR,103
184364,15:00 - 1T,PN,105
186450,05:00 - 1T,NR,106
379065,+2 - 1T,PN,107
185444,03:00 - 2T,NR,107
330886,17:00 - 1T,NR,109
379462,12:00 - 1T,NR,110
317751,18:00 - 2T,NR,111
540839,34:00 - 1T,NR,112
178620,+2 - 2T,NR,112
337830,17:00 - 2T,NR,113
315585,40:00 - 1T,NR,114
306270,30:00 - 2T,NR,115
292942,23:00 - 1T,NR,116
420184,39:00 - 1T,NR,118
