CBF,In,Out,Nº,Clube
299833,00:00 - 1T,45:00 - 2T,1,Crb/AL
129292,00:00 - 1T,45:00 - 2T,1,Cruzeiro/MG
305809,00:00 - 1T,45:00 - 2T,2,Crb/AL
646420,00:00 - 1T,45:00 - 2T,2,Cruzeiro/MG
167958,00:00 - 1T,45:00 - 2T,3,Crb/AL
174360,00:00 - 1T,45:00 - 2T,3,Cruzeiro/MG
182550,00:00 - 1T,27:00 - 1T,4,Crb/AL
535421,00:00 - 1T,45:00 - 2T,5,Cruzeiro/MG
306822,00:00 - 1T,45:00 - 2T,5,Crb/AL
542337,00:00 - 1T,33:00 - 2T,11,Cruzeiro/MG
421778,00:00 - 1T,08:00 - 2T,6,Crb/AL
554820,00:00 - 1T,45:00 - 2T,16,Cruzeiro/MG
176899,00:00 - 1T,37:00 - 2T,7,Crb/AL
619109,00:00 - 1T,45:00 - 2T,18,Cruzeiro/MG
174167,00:00 - 1T,45:00 - 2T,8,Crb/AL
175878,00:00 - 1T,45:00 - 2T,31,Cruzeiro/MG
168982,00:00 - 1T,45:00 - 2T,9,Crb/AL
182423,00:00 - 1T,45:00 - 2T,32,Cruzeiro/MG
633725,00:00 - 1T,45:00 - 2T,10,Crb/AL
179880,00:00 - 1T,21:00 - 2T,37,Cruzeiro/MG
409509,00:00 - 1T,45:00 - 2T,11,Crb/AL
540362,00:00 - 1T,32:00 - 2T,47,Cruzeiro/MG
318957,27:00 - 1T,45:00 - 2T,15,Crb/AL
403342,08:00 - 2T,45:00 - 2T,16,Crb/AL
460340,21:00 - 2T,45:00 - 2T,77,Cruzeiro/MG
354104,32:00 - 2T,45:00 - 2T,17,Cruzeiro/MG
509191,33:00 - 2T,45:00 - 2T,20,Cruzeiro/MG
430039,37:00 - 2T,45:00 - 2T,18,Crb/AL
