CBF,In,Out,Nº,Clube
305735,00:00 - 1T,45:00 - 2T,29,Coritiba/PR
175411,00:00 - 1T,45:00 - 2T,48,Flamengo/RJ
291708,00:00 - 1T,45:00 - 2T,3,Coritiba/PR
317827,00:00 - 1T,45:00 - 2T,4,Flamengo/RJ
431054,00:00 - 1T,45:00 - 2T,6,Coritiba/PR
162907,00:00 - 1T,45:00 - 2T,8,Flamengo/RJ
317006,00:00 - 1T,45:00 - 2T,13,Coritiba/PR
166649,00:00 - 1T,45:00 - 2T,14,Flamengo/RJ
175588,00:00 - 1T,45:00 - 2T,15,Coritiba/PR
291540,00:00 - 1T,45:00 - 2T,15,Flamengo/RJ
152788,00:00 - 1T,45:00 - 2T,22,Coritiba/PR
335611,00:00 - 1T,09:00 - 2T,17,Flamengo/RJ
162897,00:00 - 1T,17:00 - 2T,23,Coritiba/PR
334490,00:00 - 1T,45:00 - 2T,18,Flamengo/RJ
178472,00:00 - 1T,45:00 - 2T,26,Coritiba/PR
507566,00:00 - 1T,45:00 - 2T,20,Flamengo/RJ
343787,00:00 - 1T,30:00 - 2T,66,Coritiba/PR
165065,00:00 - 1T,45:00 - 2T,21,Flamengo/RJ
431983,00:00 - 1T,INT,70,Coritiba/PR
178361,00:00 - 1T,14:00 - 2T,22,Flamengo/RJ
309723,00:00 - 1T,45:00 - 2T,99,Coritiba/PR
507380,00:00 - 1T,14:00 - 2T,23,Flamengo/RJ
189822,INT,45 - 2T,89,Coritiba/PR
185974,09:00 - 2T,45 - 2T,26,Flamengo/RJ
305555,14:00 - 2T,45 - 2T,19,Flamengo/RJ
293440,14:00 - 2T,45 - 2T,7,Flamengo/RJ
166253,17:00 - 2T,45 - 2T,80,Coritiba/PR
307277,30:00 - 2T,45 - 2T,7,Coritiba/PR
