CBF,Time,Type,Game
389307,18:00 - 1T,NR,001
178361,05:00 - 1T,NR,002
150176,25:00 - 2T,NR,004
148994,38:00 - 1T,NR,009
154497,09:00 - 1T,NR,015
295792,35:00 - 1T,NR,017
172404,08:00 - 2T,NR,018
413248,18:00 - 1T,NR,021
346636,12:00 - 2T,CT,027
186142,18:00 - 2T,NR,028
359362,29:00 - 1T,NR,031
344841,23:00 - 1T,NR,032
148994,05:00 - 2T,NR,037
379065,38:00 - 1T,NR,039
355362,38:00 - 2T,NR,040
307245,38:00 - 1T,NR,042
151437,15:00 - 1T,NR,044
292205,36:00 - 2T,NR,046
399284,18:00 - 2T,NR,049
431525,01:00 - 1T,NR,050
178486,+4 - 1T,NR,050
307277,+1 - 1T,NR,054
292942,44:00 - 2T,NR,054
175320,+4 - 2T,NR,054
335599,25:00 - 2T,NR,055
322748,10:00 - 1T,NR,056
184307,04:00 - 1T,NR,058
292357,21:00 - 1T,NR,059
355362,02:00 - 1T,NR,062
294382,44:00 - 1T,NR,064
151437,41:00 - 1T,NR,065
363926,40:00 - 1T,NR,066
154144,02:00 - 2T,NR,068
161625,25:00 - 1T,NR,069
389307,06:00 - 1T,NR,071
337172,23:00 - 1T,PN,073
167509,42:00 - 1T,NR,077
295792,34:00 - 1T,NR,078
155991,43:00 - 2T,NR,081
291738,28:00 - 1T,NR,082
173180,+1 - 1T,NR,082
150176,04:00 - 2T,NR,083
292132,23:00 - 1T,NR,084
186547,40:00 - 1T,PN,088
409960,44:00 - 1T,NR,090
170812,07:00 - 1T,NR,092
431525,19:00 - 1T,NR,094
148994,22:00 - 2T,NR,097
168441,33:00 - 1T,NR,100
346745,26:00 - 1T,NR,101
310596,08:00 - 1T,NR,106
310312,08:00 - 2T,NR,107
178486,02:00 - 1T,NR,112
540981,06:00 - 1T,NR,113
553612,35:00 - 2T,NR,115
507462,09:00 - 1T,NR,117
540839,01:00 - 1T,NR,120
152954,+1 - 1T,NR,120
306616,07:00 - 2T,NR,122
146817,19:00 - 1T,NR,124
337172,01:00 - 1T,NR,126
507462,14:00 - 2T,NR,127
177885,15:00 - 2T,NR,132
190389,+1 - 2T,NR,132
550753,06:00 - 1T,NR,133
291780,10:00 - 1T,NR,134
387400,44:00 - 1T,NR,136
307317,20:00 - 2T,NR,140
178361,23:00 - 1T,NR,141
155840,07:00 - 1T,NR,148
163939,15:00 - 2T,NR,153
304434,24:00 - 1T,NR,158
155840,19:00 - 1T,NR,164
322748,16:00 - 2T,NR,166
308405,02:00 - 2T,NR,173
313426,13:00 - 1T,NR,174
179832,31:00 - 2T,NR,177
292205,02:00 - 1T,NR,181
337261,45:00 - 2T,NR,183
532800,37:00 - 1T,NR,185
161437,20:00 - 1T,NR,189
184273,05:00 - 1T,NR,191
143841,24:00 - 1T,NR,193
300140,44:00 - 1T,NR,199
387195,45:00 - 2T,NR,200
317022,42:00 - 1T,CT,201
167201,45:00 - 1T,PN,202
337172,+2 - 1T,NR,203
337172,07:00 - 2T,NR,203
161437,+2 - 2T,NR,203
291866,29:00 - 1T,PN,204
152954,39:00 - 1T,PN,205
158615,15:00 - 1T,NR,206
189708,30:00 - 1T,NR,208
170812,03:00 - 1T,NR,209
151437,02:00 - 2T,PN,213
291738,19:00 - 1T,NR,214
409960,07:00 - 2T,NR,216
152138,09:00 - 1T,NR,217
355752,37:00 - 1T,NR,218
553597,09:00 - 1T,PN,219
310312,07:00 - 1T,NR,220
316754,04:00 - 2T,NR,221
165524,27:00 - 1T,NR,223
148994,45:00 - 1T,NR,224
335611,13:00 - 1T,NR,225
177885,02:00 - 2T,NR,228
521990,20:00 - 1T,NR,230
168766,21:00 - 1T,NR,231
165524,25:00 - 2T,NR,233
307366,36:00 - 1T,NR,234
553445,21:00 - 2T,NR,235
152954,27:00 - 1T,NR,240
294382,03:00 - 1T,NR,241
305976,18:00 - 2T,NR,245
307366,14:00 - 1T,NR,246
155840,04:00 - 1T,NR,247
292357,13:00 - 2T,NR,248
348429,11:00 - 1T,NR,252
291732,44:00 - 1T,NR,254
307317,34:00 - 2T,NR,257
169939,15:00 - 1T,NR,258
293420,36:00 - 1T,NR,259
329015,44:00 - 2T,NR,260
306149,05:00 - 2T,NR,261
160466,19:00 - 2T,NR,263
184307,06:00 - 2T,FT,266
155840,+4 - 2T,NR,267
151708,28:00 - 2T,NR,268
379462,10:00 - 1T,NR,269
148994,15:00 - 1T,NR,270
316754,22:00 - 1T,NR,271
292357,15:00 - 1T,NR,273
168766,09:00 - 1T,NR,274
167958,11:00 - 1T,CT,275
150151,30:00 - 1T,PN,279
120815,32:00 - 1T,NR,280
169938,+1 - 2T,NR,287
308348,02:00 - 1T,NR,288
399284,06:00 - 1T,NR,289
407095,07:00 - 2T,NR,290
169902,44:00 - 1T,NR,291
291317,12:00 - 1T,CT,292
337172,40:00 - 2T,PN,294
379462,+1 - 1T,NR,299
553190,01:00 - 2T,NR,300
169938,04:00 - 1T,NR,301
167509,11:00 - 2T,NR,302
340736,20:00 - 1T,NR,304
507462,16:00 - 1T,NR,306
379065,09:00 - 1T,NR,308
306146,21:00 - 1T,PN,310
291732,42:00 - 2T,NR,312
184087,39:00 - 2T,NR,313
535421,40:00 - 1T,NR,314
171975,05:00 - 1T,NR,315
291738,20:00 - 1T,NR,316
554728,15:00 - 1T,FT,318
331937,03:00 - 1T,NR,319
182423,13:00 - 1T,CT,325
292205,29:00 - 2T,PN,328
329015,26:00 - 1T,NR,330
184307,04:00 - 1T,NR,331
154144,17:00 - 1T,NR,334
308405,07:00 - 2T,NR,337
150176,+2 - 2T,PN,337
165524,30:00 - 2T,NR,338
165524,32:00 - 1T,NR,341
155840,28:00 - 1T,NR,342
553190,34:00 - 1T,NR,344
339155,12:00 - 1T,NR,346
178361,33:00 - 1T,NR,349
170812,42:00 - 1T,NR,350
154497,21:00 - 1T,NR,351
180083,23:00 - 1T,NR,352
291738,17:00 - 2T,NR,353
172404,11:00 - 1T,NR,355
335611,02:00 - 1T,NR,357
305876,39:00 - 1T,NR,358
348429,+1 - 1T,NR,358
148994,06:00 - 1T,NR,359
307366,10:00 - 2T,PN,360
337172,17:00 - 1T,NR,361
550946,11:00 - 1T,NR,362
420184,05:00 - 1T,NR,364
