CBF,In,Out,Nº,Clube
139305,00:00 - 1T,45:00 - 2T,1,Abc/RN
160028,00:00 - 1T,45:00 - 2T,1,SantaCruz/PE
171685,00:00 - 1T,45:00 - 2T,2,Abc/RN
156325,00:00 - 1T,45:00 - 2T,2,SantaCruz/PE
306025,00:00 - 1T,45:00 - 2T,3,Abc/RN
186128,00:00 - 1T,45:00 - 2T,3,SantaCruz/PE
154599,00:00 - 1T,45:00 - 2T,4,Abc/RN
159190,00:00 - 1T,45:00 - 2T,4,SantaCruz/PE
156835,00:00 - 1T,39:00 - 2T,5,Abc/RN
370555,00:00 - 1T,45:00 - 2T,5,SantaCruz/PE
379805,00:00 - 1T,45:00 - 2T,6,Abc/RN
308919,00:00 - 1T,45:00 - 2T,6,SantaCruz/PE
382826,00:00 - 1T,23:00 - 2T,7,Abc/RN
169519,00:00 - 1T,45:00 - 2T,7,SantaCruz/PE
160379,00:00 - 1T,45:00 - 2T,8,Abc/RN
309982,00:00 - 1T,45:00 - 2T,8,SantaCruz/PE
182088,00:00 - 1T,45:00 - 2T,9,Abc/RN
185012,00:00 - 1T,45:00 - 2T,10,SantaCruz/PE
173650,00:00 - 1T,45:00 - 2T,10,Abc/RN
341132,00:00 - 1T,45:00 - 2T,11,SantaCruz/PE
151005,00:00 - 1T,32:00 - 2T,11,Abc/RN
147010,00:00 - 1T,45:00 - 2T,23,SantaCruz/PE
321556,23:00 - 2T,45 - 2T,22,Abc/RN
183073,32:00 - 2T,45 - 2T,21,Abc/RN
295383,39:00 - 2T,45 - 2T,18,Abc/RN
