CBF,Time,Type,Game
305977,01:00 - 2T,NR,001
334457,+1 - 1T,NR,002
334457,22:00 - 2T,NR,002
293172,20:00 - 1T,NR,004
328448,36:00 - 2T,NR,006
160606,41:00 - 2T,NR,007
409509,13:00 - 2T,NR,009
453172,06:00 - 2T,NR,010
180751,15:00 - 2T,CT,012
189739,33:00 - 2T,NR,014
375562,38:00 - 2T,NR,017
141880,41:00 - 1T,NR,020
164866,+3 - 2T,NR,020
451607,37:00 - 2T,NR,021
186467,09:00 - 2T,NR,022
293188,33:00 - 1T,NR,023
409509,34:00 - 1T,NR,024
164866,29:00 - 1T,NR,026
311487,07:00 - 1T,NR,028
171998,24:00 - 2T,NR,029
453172,22:00 - 1T,NR,030
191433,20:00 - 1T,PN,031
409509,30:00 - 1T,NR,032
343999,12:00 - 1T,NR,033
333975,24:00 - 2T,NR,034
359371,36:00 - 1T,NR,038
181254,22:00 - 1T,NR,039
141880,30:00 - 1T,NR,040
189538,18:00 - 1T,NR,041
298469,25:00 - 1T,PN,046
160174,31:00 - 2T,PN,048
302768,32:00 - 1T,NR,049
453172,32:00 - 2T,NR,050
178684,22:00 - 1T,NR,051
302560,35:00 - 1T,NR,052
343349,32:00 - 1T,NR,054
298432,40:00 - 1T,NR,057
180284,18:00 - 2T,NR,061
188170,01:00 - 1T,NR,063
185060,19:00 - 1T,NR,064
158893,20:00 - 1T,NR,065
343349,15:00 - 2T,NR,067
159419,01:00 - 1T,NR,070
178684,07:00 - 1T,NR,071
352645,07:00 - 2T,NR,072
181209,14:00 - 1T,NR,076
293172,24:00 - 1T,NR,077
311487,45:00 - 2T,NR,078
177362,15:00 - 1T,NR,080
159343,43:00 - 1T,NR,081
325678,11:00 - 1T,NR,082
295956,22:00 - 1T,NR,083
155026,42:00 - 1T,NR,084
166180,25:00 - 2T,NR,089
186467,42:00 - 1T,NR,090
369011,12:00 - 2T,NR,091
191433,+2 - 2T,PN,091
330886,01:00 - 1T,NR,092
296334,16:00 - 2T,NR,093
295956,35:00 - 2T,NR,096
298485,20:00 - 2T,NR,097
185304,13:00 - 2T,NR,098
190032,27:00 - 1T,NR,099
305776,36:00 - 1T,NR,100
297441,02:00 - 2T,NR,101
180253,34:00 - 2T,NR,102
295956,02:00 - 1T,NR,103
314059,22:00 - 2T,NR,104
453172,20:00 - 1T,NR,105
169859,18:00 - 1T,NR,107
324513,27:00 - 1T,NR,110
176196,30:00 - 1T,NR,111
325678,26:00 - 1T,NR,112
185030,42:00 - 2T,NR,114
314059,12:00 - 2T,NR,115
190286,34:00 - 1T,NR,116
307486,21:00 - 1T,NR,117
311487,10:00 - 2T,NR,118
302768,44:00 - 1T,NR,119
306501,38:00 - 2T,NR,120
316760,39:00 - 1T,CT,121
317697,11:00 - 1T,NR,124
330015,34:00 - 1T,NR,127
148961,+1 - 1T,NR,128
344790,11:00 - 2T,NR,128
180284,03:00 - 1T,NR,131
409509,06:00 - 1T,NR,132
166180,32:00 - 2T,PN,134
338237,19:00 - 1T,NR,136
165040,24:00 - 1T,NR,137
164863,05:00 - 1T,NR,138
147495,29:00 - 1T,NR,141
179773,03:00 - 1T,NR,144
297441,09:00 - 1T,NR,147
177362,12:00 - 1T,NR,148
170571,14:00 - 1T,NR,150
148961,29:00 - 1T,NR,152
179773,03:00 - 1T,NR,154
298469,+1 - 2T,NR,156
171998,35:00 - 1T,NR,157
427806,01:00 - 1T,NR,161
291540,+2 - 1T,NR,162
178674,29:00 - 1T,NR,163
185030,23:00 - 1T,NR,164
189538,12:00 - 1T,NR,165
307486,09:00 - 2T,NR,167
517393,05:00 - 2T,NR,171
180751,05:00 - 1T,FT,172
295017,+1 - 1T,NR,172
175323,33:00 - 1T,NR,173
175323,+1 - 1T,NR,173
166725,24:00 - 2T,NR,174
176899,26:00 - 1T,PN,177
305534,14:00 - 1T,NR,179
296863,04:00 - 2T,NR,180
186467,01:00 - 1T,NR,182
150855,31:00 - 1T,NR,187
172296,05:00 - 1T,NR,188
188170,27:00 - 1T,NR,190
160326,27:00 - 1T,NR,191
184316,+5 - 2T,NR,192
188660,04:00 - 1T,NR,193
298485,25:00 - 1T,NR,197
178424,+2 - 2T,NR,197
178373,39:00 - 1T,NR,198
295017,25:00 - 1T,NR,199
296349,34:00 - 1T,NR,200
296349,02:00 - 2T,NR,202
318165,28:00 - 1T,NR,203
377015,31:00 - 2T,PN,204
417467,06:00 - 2T,NR,205
335012,08:00 - 1T,NR,206
307602,20:00 - 1T,NR,207
176899,15:00 - 1T,NR,208
178373,08:00 - 1T,NR,210
155026,36:00 - 1T,NR,211
409509,21:00 - 1T,NR,212
150855,32:00 - 1T,NR,213
311487,10:00 - 1T,NR,214
159343,21:00 - 1T,NR,217
166180,+1 - 2T,NR,219
318165,26:00 - 1T,NR,220
299142,33:00 - 1T,NR,222
294769,16:00 - 1T,NR,223
188170,04:00 - 1T,NR,226
152208,20:00 - 2T,NR,227
311487,10:00 - 1T,NR,228
330886,06:00 - 2T,NR,229
187746,22:00 - 1T,NR,230
180751,18:00 - 1T,FT,232
293010,04:00 - 1T,NR,233
141558,23:00 - 1T,NR,234
293172,09:00 - 1T,NR,237
307486,11:00 - 2T,NR,238
336063,32:00 - 1T,NR,239
155026,+1 - 1T,PN,239
344221,18:00 - 1T,NR,240
160251,06:00 - 1T,NR,242
340020,16:00 - 1T,NR,243
176899,40:00 - 1T,NR,244
176899,+1 - 2T,NR,244
166725,+2 - 2T,NR,244
363149,31:00 - 2T,NR,246
307602,05:00 - 1T,NR,247
354201,09:00 - 1T,NR,250
294769,16:00 - 1T,NR,251
179395,02:00 - 1T,NR,252
298485,04:00 - 2T,NR,257
140044,02:00 - 2T,NR,258
179098,07:00 - 2T,NR,259
318165,37:00 - 1T,NR,260
418797,+1 - 1T,NR,260
370695,03:00 - 1T,NR,262
174397,05:00 - 2T,NR,263
168982,19:00 - 1T,NR,264
330886,15:00 - 2T,NR,265
306706,36:00 - 1T,NR,267
318165,20:00 - 1T,NR,268
293529,26:00 - 1T,NR,269
329055,35:00 - 1T,NR,270
427806,24:00 - 1T,NR,271
359362,29:00 - 2T,NR,272
369011,33:00 - 1T,NR,274
402630,25:00 - 1T,NR,276
330015,18:00 - 1T,NR,277
185304,+3 - 2T,NR,277
137540,12:00 - 1T,PN,278
156079,24:00 - 1T,PN,280
165391,39:00 - 1T,NR,282
161039,39:00 - 2T,FT,284
159419,25:00 - 1T,NR,287
535836,08:00 - 1T,NR,290
306019,+4 - 2T,NR,290
191433,44:00 - 1T,NR,291
158893,11:00 - 1T,NR,292
297441,26:00 - 1T,NR,294
155026,27:00 - 1T,CT,296
293172,31:00 - 1T,PN,297
303987,28:00 - 1T,NR,299
329055,28:00 - 1T,PN,300
307840,+4 - 2T,NR,301
292672,31:00 - 1T,NR,302
338237,+2 - 2T,NR,303
179773,38:00 - 2T,PN,304
324513,40:00 - 1T,NR,307
177098,32:00 - 1T,CT,310
179098,20:00 - 1T,NR,311
178373,15:00 - 1T,FT,312
340020,16:00 - 1T,PN,313
185034,13:00 - 2T,FT,314
191433,10:00 - 1T,PN,316
177098,06:00 - 1T,NR,317
139015,24:00 - 2T,NR,318
306260,16:00 - 1T,NR,320
427806,01:00 - 2T,NR,321
191513,27:00 - 1T,NR,322
294996,11:00 - 2T,CT,324
169859,09:00 - 2T,NR,327
161089,08:00 - 1T,CT,329
139015,45:00 - 1T,NR,330
303542,35:00 - 2T,NR,332
179395,06:00 - 1T,NR,335
343999,37:00 - 1T,NR,336
179832,26:00 - 1T,NR,337
160174,28:00 - 1T,NR,338
306019,07:00 - 2T,NR,340
176854,26:00 - 2T,NR,341
186467,+2 - 2T,NR,342
308608,30:00 - 1T,NR,343
161603,19:00 - 1T,NR,347
177957,18:00 - 2T,NR,348
324464,10:00 - 1T,NR,350
297441,10:00 - 1T,NR,351
183073,25:00 - 2T,NR,352
313001,03:00 - 1T,NR,353
178373,03:00 - 1T,NR,355
343999,33:00 - 1T,NR,356
165040,14:00 - 1T,NR,357
160174,10:00 - 1T,PN,358
185030,+6 - 2T,NR,358
324464,09:00 - 1T,NR,359
156079,25:00 - 1T,FT,360
156079,+2 - 1T,PN,360
351207,18:00 - 2T,NR,361
291540,11:00 - 1T,NR,362
394045,24:00 - 2T,NR,363
394764,35:00 - 2T,NR,364
333705,+3 - 2T,NR,364
340020,34:00 - 1T,NR,365
428406,22:00 - 1T,NR,366
427806,14:00 - 1T,NR,367
172296,30:00 - 2T,NR,368
159419,07:00 - 2T,PN,370
185034,21:00 - 1T,NR,371
183073,11:00 - 1T,NR,373
508210,35:00 - 2T,NR,374
176196,27:00 - 1T,NR,376
296349,35:00 - 1T,NR,377
293172,+1 - 1T,NR,377
