CBF,In,Out,Nº,Clube
159664,00:00 - 1T,45:00 - 2T,1,Abc/RN
169020,00:00 - 1T,45:00 - 2T,1,Botafogo/PB
313762,00:00 - 1T,INT,2,Abc/RN
177626,00:00 - 1T,INT,9,Botafogo/PB
434738,00:00 - 1T,45:00 - 2T,3,Abc/RN
166253,00:00 - 1T,45:00 - 2T,10,Botafogo/PB
327891,00:00 - 1T,45:00 - 2T,4,Abc/RN
293090,00:00 - 1T,45:00 - 2T,11,Botafogo/PB
160150,00:00 - 1T,45:00 - 2T,5,Abc/RN
328778,00:00 - 1T,45:00 - 2T,14,Botafogo/PB
320984,00:00 - 1T,45:00 - 2T,6,Abc/RN
317361,00:00 - 1T,45:00 - 2T,15,Botafogo/PB
420566,00:00 - 1T,45:00 - 2T,7,Abc/RN
295085,00:00 - 1T,INT,17,Botafogo/PB
189991,00:00 - 1T,45:00 - 2T,8,Abc/RN
307111,00:00 - 1T,45:00 - 2T,19,Botafogo/PB
144035,00:00 - 1T,45:00 - 2T,9,Abc/RN
386746,00:00 - 1T,45:00 - 2T,20,Botafogo/PB
296566,00:00 - 1T,17:00 - 2T,10,Abc/RN
175008,00:00 - 1T,22:00 - 2T,30,Botafogo/PB
359398,00:00 - 1T,28:00 - 2T,11,Abc/RN
177456,00:00 - 1T,45:00 - 2T,33,Botafogo/PB
430175,INT,45 - 2T,34,Botafogo/PB
185531,INT,45 - 2T,28,Botafogo/PB
434930,INT,45 - 2T,23,Abc/RN
538843,17:00 - 2T,45 - 2T,21,Abc/RN
174353,22:00 - 2T,45 - 2T,8,Botafogo/PB
313930,28:00 - 2T,45 - 2T,20,Abc/RN
