Game,Home,Away
001,Trem/AP,Atlético/AC
002,PrincesadoSolimões/AM,RealDesportivo/RO
003,SãoRaimundo/PA,Gurupi/TO
005,RioBranco/AC,SãoRaimundo/RR
006,Genus/RO,S.francisco/PA
007,TocantinsEsporteClube/TO,Altos/PI
008,Cordino/MA,Santos/AP
009,Ríver/PI,GuaranydeSobral/CE
010,Potiguar/RN,Maranhão/MA
011,GuaranideJuazeiro/CE,América/PE
013,Coruripe/AL,Juazeirense/BA
014,Sousa/PB,Central/PE
015,Itabaiana/SE,FluminensedeFeira/BA
016,Atletico/PE,Campinense/PB
017,AméricadeNatal/RN,Murici/AL
018,JacobinaEc/BA,Sergipe/SE
019,Comercial/MS,Sinop/MT
020,Ceilândia/DF,Anápolis/GO
021,UniãodeRondonópolis/MT,7deSetembro/MS
022,Portuguesa/RJ,Urt/MG
023,Itumbiara/GO,Audax/SP
024,VillaNovaA.c./MG,Bangu/RJ
025,Portuguesa/SP,Desportiva/ES
026,EspiritoSanto/ES,RedBullBrasil/SP
027,Caldense/MG,Boavista/RJ
028,Operario/PR,Brusque/SC
030,NovoHamburgo/RS,SaoBernardo/SP
031,Internacional/SC,FozdoIguaçu/PR
032,Ituano/SP,SãoJosé/RS
033,Metropolitano/SC,Pstc/PR
034,Aparecidense/GO,Luziânia/DF
035,Altos/PI,Cordino/MA
036,Juazeirense/BA,Sousa/PB
037,Anápolis/GO,Comercial/MS
038,Luziânia/DF,UniãodeRondonópolis/MT
039,Bangu/RJ,Portuguesa/SP
040,Desportiva/ES,VillaNovaA.c./MG
041,Boavista/RJ,EspiritoSanto/ES
042,RedBullBrasil/SP,Caldense/MG
043,Brusque/SC,XvdePiracicaba/SP
044,SaoBernardo/SP,Internacional/SC
045,SãoJosé/RS,Metropolitano/SC
046,Atlético/AC,PrincesadoSolimões/AM
047,RealDesportivo/RO,Trem/AP
048,Gurupi/TO,Bare/RR
049,FastClube/AM,SãoRaimundo/PA
051,S.francisco/PA,RioBranco/AC
052,Santos/AP,TocantinsEsporteClube/TO
053,Maranhão/MA,Ríver/PI
054,GuaranydeSobral/CE,Potiguar/RN
055,América/PE,Parnahyba/PI
056,Globo/RN,GuaranideJuazeiro/CE
057,Central/PE,Coruripe/AL
058,FluminensedeFeira/BA,Atletico/PE
059,Campinense/PB,Itabaiana/SE
060,Murici/AL,JacobinaEc/BA
061,Sergipe/SE,AméricadeNatal/RN
062,Sinop/MT,Ceilândia/DF
063,7deSetembro/MS,Aparecidense/GO
064,Audax/SP,Portuguesa/RJ
065,Urt/MG,Itumbiara/GO
066,SãoPaulo/RS,Operario/PR
067,FozdoIguaçu/PR,NovoHamburgo/RS
068,Pstc/PR,Ituano/SP
069,Altos/PI,Santos/AP
070,Itabaiana/SE,Atletico/PE
072,EspiritoSanto/ES,Caldense/MG
073,RedBullBrasil/SP,Boavista/RJ
074,SaoBernardo/SP,FozdoIguaçu/PR
075,Metropolitano/SC,Ituano/SP
076,Atlético/AC,RealDesportivo/RO
077,FastClube/AM,Gurupi/TO
079,S.francisco/PA,SãoRaimundo/RR
080,Genus/RO,RioBranco/AC
081,TocantinsEsporteClube/TO,Cordino/MA
082,Maranhão/MA,GuaranydeSobral/CE
083,Potiguar/RN,Ríver/PI
084,América/PE,Globo/RN
085,GuaranideJuazeiro/CE,Parnahyba/PI
086,Central/PE,Juazeirense/BA
087,Sousa/PB,Coruripe/AL
088,FluminensedeFeira/BA,Campinense/PB
089,Murici/AL,Sergipe/SE
090,AméricadeNatal/RN,JacobinaEc/BA
091,Sinop/MT,Anápolis/GO
092,Comercial/MS,Ceilândia/DF
093,Audax/SP,Urt/MG
094,Itumbiara/GO,Portuguesa/RJ
095,Bangu/RJ,Desportiva/ES
096,VillaNovaA.c./MG,Portuguesa/SP
097,Brusque/SC,SãoPaulo/RS
098,Operario/PR,XvdePiracicaba/SP
099,NovoHamburgo/RS,Internacional/SC
