CBF,Time,Type,Game
384570,09:00 - 1T,NR,001
156478,15:00 - 2T,NR,006
171747,+2 - 1T,NR,007
185520,17:00 - 2T,PN,008
178915,39:00 - 1T,NR,009
176420,07:00 - 2T,FT,013
369698,27:00 - 1T,NR,014
185378,32:00 - 1T,NR,016
314842,33:00 - 1T,NR,018
316034,09:00 - 2T,NR,019
371158,03:00 - 2T,NR,020
178297,08:00 - 1T,NR,022
155065,19:00 - 1T,NR,023
334205,06:00 - 1T,NR,024
142460,02:00 - 1T,NR,025
321445,21:00 - 1T,NR,027
183850,23:00 - 2T,NR,028
324181,13:00 - 2T,NR,031
392864,07:00 - 1T,NR,032
395726,42:00 - 2T,NR,033
150901,26:00 - 1T,NR,034
401122,38:00 - 1T,NR,035
329405,+2 - 1T,FT,037
434393,+5 - 2T,NR,037
144455,02:00 - 1T,NR,039
307285,+1 - 1T,NR,042
189512,22:00 - 2T,NR,047
341758,19:00 - 1T,NR,048
325470,16:00 - 2T,NR,053
304670,44:00 - 2T,NR,055
188156,10:00 - 1T,NR,057
409868,13:00 - 1T,NR,059
176402,+2 - 1T,NR,062
187583,34:00 - 2T,CT,062
178297,42:00 - 1T,NR,064
462612,03:00 - 1T,NR,068
401122,25:00 - 1T,NR,069
291901,12:00 - 1T,NR,070
307285,33:00 - 2T,NR,072
298013,38:00 - 2T,NR,073
177085,03:00 - 2T,NR,075
180872,16:00 - 2T,PN,079
148594,+1 - 1T,PN,080
368183,10:00 - 1T,NR,082
178915,05:00 - 2T,NR,083
296887,+3 - 2T,NR,083
311270,30:00 - 1T,NR,086
183435,04:00 - 1T,NR,087
355646,08:00 - 2T,NR,089
308645,20:00 - 1T,CT,092
173807,19:00 - 2T,NR,093
178297,26:00 - 1T,NR,094
334205,+1 - 2T,CT,095
340161,10:00 - 1T,NR,099
171574,34:00 - 2T,NR,103
166860,36:00 - 1T,NR,105
186586,07:00 - 1T,NR,106
457692,11:00 - 1T,NR,107
181198,12:00 - 1T,NR,109
384570,06:00 - 1T,NR,113
183377,02:00 - 2T,NR,115
533525,43:00 - 1T,NR,117
185520,42:00 - 1T,PN,118
368187,01:00 - 1T,NR,119
144392,11:00 - 1T,NR,120
172162,38:00 - 2T,PN,122
300941,+3 - 2T,NR,122
303845,23:00 - 1T,NR,123
307569,44:00 - 1T,NR,124
167244,07:00 - 1T,NR,125
382379,03:00 - 1T,PN,131
154976,24:00 - 1T,NR,139
178297,38:00 - 1T,NR,141
174150,20:00 - 1T,NR,144
369721,25:00 - 1T,NR,146
567831,21:00 - 1T,NR,148
187984,16:00 - 1T,NR,149
346437,42:00 - 1T,NR,150
296145,09:00 - 2T,NR,151
172162,10:00 - 2T,NR,153
304291,01:00 - 1T,NR,155
369698,22:00 - 1T,PN,156
185378,05:00 - 2T,NR,157
457692,04:00 - 1T,NR,160
310477,36:00 - 2T,PN,161
169450,31:00 - 2T,NR,162
356113,06:00 - 1T,NR,164
162692,04:00 - 1T,NR,165
401831,12:00 - 1T,NR,175
171747,24:00 - 1T,PN,177
172731,34:00 - 1T,NR,179
337193,45:00 - 1T,NR,181
155566,08:00 - 1T,NR,182
172049,02:00 - 2T,NR,183
163758,05:00 - 2T,NR,184
296885,15:00 - 1T,NR,185
167617,31:00 - 2T,NR,186
167617,+1 - 2T,NR,186
143924,12:00 - 2T,NR,188
452289,+3 - 2T,NR,188
132803,40:00 - 1T,NR,190
393898,16:00 - 1T,NR,191
331926,14:00 - 1T,NR,193
151417,05:00 - 1T,NR,196
457846,42:00 - 1T,NR,198
186502,05:00 - 2T,NR,203
300968,15:00 - 1T,NR,206
171747,10:00 - 2T,NR,208
380559,+1 - 1T,NR,211
325470,43:00 - 2T,PN,211
343701,09:00 - 1T,NR,212
303845,42:00 - 1T,NR,213
179117,10:00 - 1T,NR,214
186427,26:00 - 2T,NR,215
175299,04:00 - 1T,NR,218
167617,17:00 - 1T,NR,219
401831,20:00 - 1T,NR,220
164664,07:00 - 1T,NR,226
384570,31:00 - 2T,NR,227
293986,10:00 - 1T,NR,228
175308,01:00 - 2T,NR,229
155843,34:00 - 2T,NR,232
431932,+1 - 2T,NR,233
325470,02:00 - 1T,PN,240
164664,15:00 - 1T,NR,242
341758,30:00 - 2T,NR,244
294558,01:00 - 1T,NR,251
347957,21:00 - 1T,PN,252
186747,+1 - 1T,NR,253
401299,16:00 - 2T,NR,254
427268,08:00 - 1T,NR,256
296314,24:00 - 2T,NR,260
164664,31:00 - 1T,NR,261
155566,15:00 - 1T,NR,263
379134,09:00 - 1T,NR,264
187266,23:00 - 1T,CT,265
187266,24:00 - 1T,NR,266
