CBF,In,Out,Nº,Clube
448233,00:00 - 1T,INT,1,Santos/AP
530809,00:00 - 1T,45:00 - 2T,1,SociedadeEsportivaJuventude/MA
292836,00:00 - 1T,28:00 - 2T,2,Santos/AP
511783,00:00 - 1T,45:00 - 2T,2,SociedadeEsportivaJuventude/MA
435859,00:00 - 1T,45:00 - 2T,3,Santos/AP
332776,00:00 - 1T,45:00 - 2T,3,SociedadeEsportivaJuventude/MA
427516,00:00 - 1T,45:00 - 2T,4,Santos/AP
414698,00:00 - 1T,45:00 - 2T,4,SociedadeEsportivaJuventude/MA
187235,00:00 - 1T,45:00 - 2T,6,Santos/AP
431884,00:00 - 1T,45:00 - 2T,5,SociedadeEsportivaJuventude/MA
372858,00:00 - 1T,45:00 - 2T,7,Santos/AP
517093,00:00 - 1T,45:00 - 2T,6,SociedadeEsportivaJuventude/MA
459752,00:00 - 1T,39:00 - 2T,8,Santos/AP
380559,00:00 - 1T,45:00 - 2T,7,SociedadeEsportivaJuventude/MA
416848,00:00 - 1T,45:00 - 2T,9,Santos/AP
346926,00:00 - 1T,45:00 - 2T,8,SociedadeEsportivaJuventude/MA
693137,00:00 - 1T,39:00 - 2T,10,Santos/AP
445787,00:00 - 1T,45:00 - 2T,9,SociedadeEsportivaJuventude/MA
384398,00:00 - 1T,18:00 - 2T,11,Santos/AP
292969,00:00 - 1T,45:00 - 2T,10,SociedadeEsportivaJuventude/MA
459375,00:00 - 1T,45:00 - 2T,14,Santos/AP
296791,00:00 - 1T,45:00 - 2T,11,SociedadeEsportivaJuventude/MA
552988,INT,45 - 2T,12,Santos/AP
693200,18:00 - 2T,45 - 2T,21,Santos/AP
693443,28:00 - 2T,45 - 2T,20,Santos/AP
142887,39:00 - 2T,45 - 2T,16,Santos/AP
672355,39:00 - 2T,45 - 2T,18,Santos/AP
