CBF,In,Out,Nº,Clube
300501,00:00 - 1T,45:00 - 2T,1,Jacuipense/BA
150963,00:00 - 1T,45:00 - 2T,1,Náutico/PE
293512,00:00 - 1T,10:00 - 2T,2,Jacuipense/BA
350702,00:00 - 1T,45:00 - 2T,2,Náutico/PE
137818,00:00 - 1T,45:00 - 2T,3,Jacuipense/BA
370556,00:00 - 1T,45:00 - 2T,3,Náutico/PE
401870,00:00 - 1T,45:00 - 2T,4,Jacuipense/BA
397668,00:00 - 1T,45:00 - 2T,4,Náutico/PE
177975,00:00 - 1T,45:00 - 2T,5,Jacuipense/BA
337194,00:00 - 1T,45:00 - 2T,5,Náutico/PE
303921,00:00 - 1T,45:00 - 2T,6,Jacuipense/BA
517393,00:00 - 1T,45:00 - 2T,6,Náutico/PE
182595,00:00 - 1T,45:00 - 2T,7,Jacuipense/BA
360598,00:00 - 1T,29:00 - 2T,7,Náutico/PE
305766,00:00 - 1T,45:00 - 2T,8,Jacuipense/BA
341779,00:00 - 1T,45:00 - 2T,8,Náutico/PE
146600,00:00 - 1T,21:00 - 2T,9,Jacuipense/BA
178922,00:00 - 1T,45:00 - 2T,9,Náutico/PE
355394,00:00 - 1T,INT,10,Jacuipense/BA
299161,00:00 - 1T,45:00 - 2T,10,Náutico/PE
179106,00:00 - 1T,45:00 - 2T,11,Jacuipense/BA
335586,00:00 - 1T,29:00 - 2T,11,Náutico/PE
367683,INT,45 - 2T,16,Jacuipense/BA
311134,10:00 - 2T,45 - 2T,20,Jacuipense/BA
412027,21:00 - 2T,45 - 2T,21,Jacuipense/BA
417467,29:00 - 2T,45 - 2T,17,Náutico/PE
299049,29:00 - 2T,45 - 2T,15,Náutico/PE
312228,45:00 - 2T,45 - 2T,18,Náutico/PE
