CBF,In,Out,Nº,Clube
174365,00:00 - 1T,45:00 - 2T,1,América/RN
349146,00:00 - 1T,45:00 - 2T,1,Gama/DF
186804,00:00 - 1T,43:00 - 2T,2,América/RN
173830,00:00 - 1T,45:00 - 2T,2,Gama/DF
367072,00:00 - 1T,45:00 - 2T,3,América/RN
165136,00:00 - 1T,45:00 - 2T,3,Gama/DF
297954,00:00 - 1T,32:00 - 2T,4,América/RN
449281,00:00 - 1T,45:00 - 2T,4,Gama/DF
183099,00:00 - 1T,45:00 - 2T,5,América/RN
350661,00:00 - 1T,45:00 - 2T,5,Gama/DF
329561,00:00 - 1T,12:00 - 2T,6,América/RN
170047,00:00 - 1T,INT,6,Gama/DF
370113,00:00 - 1T,45:00 - 2T,7,América/RN
184257,00:00 - 1T,45:00 - 2T,7,Gama/DF
181212,00:00 - 1T,45:00 - 2T,8,América/RN
176292,00:00 - 1T,45:00 - 2T,8,Gama/DF
162692,00:00 - 1T,45:00 - 2T,9,América/RN
179773,00:00 - 1T,45:00 - 2T,9,Gama/DF
150547,00:00 - 1T,45:00 - 2T,10,América/RN
314444,00:00 - 1T,18:00 - 2T,10,Gama/DF
187548,00:00 - 1T,45:00 - 2T,11,América/RN
182469,00:00 - 1T,31:00 - 2T,11,Gama/DF
184811,INT,45 - 2T,13,Gama/DF
347452,12:00 - 2T,45 - 2T,19,América/RN
333446,18:00 - 2T,45 - 2T,15,Gama/DF
391159,31:00 - 2T,45 - 2T,14,Gama/DF
176623,32:00 - 2T,45 - 2T,20,América/RN
371018,43:00 - 2T,45 - 2T,14,América/RN
