CBF,In,Out,Nº,Clube
295557,00:00 - 1T,45:00 - 2T,93,Chapecoense/SC
166276,00:00 - 1T,45:00 - 2T,12,Corinthians/SP
328680,00:00 - 1T,45:00 - 2T,3,Chapecoense/SC
320839,00:00 - 1T,45:00 - 2T,5,Corinthians/SP
332318,00:00 - 1T,45:00 - 2T,6,Chapecoense/SC
318481,00:00 - 1T,45:00 - 2T,6,Corinthians/SP
595888,00:00 - 1T,45:00 - 2T,7,Chapecoense/SC
162504,00:00 - 1T,45:00 - 2T,7,Corinthians/SP
152788,00:00 - 1T,45:00 - 2T,9,Chapecoense/SC
339242,00:00 - 1T,45:00 - 2T,8,Corinthians/SP
163514,00:00 - 1T,45:00 - 2T,10,Chapecoense/SC
507462,00:00 - 1T,45:00 - 2T,11,Corinthians/SP
291540,00:00 - 1T,45:00 - 2T,11,Chapecoense/SC
429853,00:00 - 1T,45:00 - 2T,14,Corinthians/SP
389228,00:00 - 1T,45:00 - 2T,14,Chapecoense/SC
177050,00:00 - 1T,45:00 - 2T,23,Corinthians/SP
172576,00:00 - 1T,45:00 - 2T,22,Chapecoense/SC
177885,00:00 - 1T,45:00 - 2T,26,Corinthians/SP
389361,00:00 - 1T,45:00 - 2T,25,Chapecoense/SC
190389,00:00 - 1T,45:00 - 2T,31,Corinthians/SP
338506,00:00 - 1T,45:00 - 2T,33,Chapecoense/SC
352037,00:00 - 1T,45:00 - 2T,34,Corinthians/SP
