CBF,In,Out,Nº,Clube
129292,00:00 - 1T,45:00 - 2T,1,Cruzeiro/MG
137990,00:00 - 1T,45:00 - 2T,12,Fluminense/RJ
302436,00:00 - 1T,45:00 - 2T,2,Cruzeiro/MG
178827,00:00 - 1T,45:00 - 2T,2,Fluminense/RJ
339876,00:00 - 1T,45:00 - 2T,6,Cruzeiro/MG
180732,00:00 - 1T,45:00 - 2T,4,Fluminense/RJ
150549,00:00 - 1T,20:00 - 2T,7,Cruzeiro/MG
364054,00:00 - 1T,45:00 - 2T,6,Fluminense/RJ
320111,00:00 - 1T,45:00 - 2T,16,Cruzeiro/MG
308376,00:00 - 1T,45:00 - 2T,8,Fluminense/RJ
172189,00:00 - 1T,39:00 - 2T,19,Cruzeiro/MG
313426,00:00 - 1T,29:00 - 2T,10,Fluminense/RJ
182423,00:00 - 1T,45:00 - 2T,27,Cruzeiro/MG
405713,00:00 - 1T,45:00 - 2T,23,Fluminense/RJ
541523,00:00 - 1T,45:00 - 2T,29,Cruzeiro/MG
303716,00:00 - 1T,45:00 - 2T,32,Fluminense/RJ
169888,00:00 - 1T,45:00 - 2T,30,Cruzeiro/MG
161301,00:00 - 1T,45:00 - 2T,33,Fluminense/RJ
392224,00:00 - 1T,45:00 - 2T,35,Cruzeiro/MG
339900,00:00 - 1T,34:00 - 2T,35,Fluminense/RJ
151708,00:00 - 1T,44:00 - 2T,70,Cruzeiro/MG
421523,00:00 - 1T,28:00 - 2T,37,Fluminense/RJ
409409,20:00 - 2T,45 - 2T,40,Cruzeiro/MG
413284,28:00 - 2T,45 - 2T,28,Fluminense/RJ
346294,29:00 - 2T,45 - 2T,15,Fluminense/RJ
306146,34:00 - 2T,45 - 2T,11,Fluminense/RJ
317751,39:00 - 2T,45 - 2T,11,Cruzeiro/MG
599658,44:00 - 2T,45 - 2T,18,Cruzeiro/MG
