CBF,In,Out,Nº,Clube
129274,00:00 - 1T,45:00 - 2T,1,Atlético/GO
187561,00:00 - 1T,45:00 - 2T,1,Bahia/BA
175135,00:00 - 1T,45:00 - 2T,2,Atlético/GO
183777,00:00 - 1T,45:00 - 2T,2,Bahia/BA
160061,00:00 - 1T,45:00 - 2T,3,Atlético/GO
351632,00:00 - 1T,45:00 - 2T,3,Bahia/BA
168009,00:00 - 1T,45:00 - 2T,4,Atlético/GO
167214,00:00 - 1T,45:00 - 2T,4,Bahia/BA
160150,00:00 - 1T,45:00 - 2T,5,Atlético/GO
401167,00:00 - 1T,45:00 - 1T,5,Bahia/BA
173602,00:00 - 1T,25:00 - 2T,6,Atlético/GO
399254,00:00 - 1T,45:00 - 2T,6,Bahia/BA
298432,00:00 - 1T,45:00 - 2T,7,Atlético/GO
350148,00:00 - 1T,17:00 - 2T,7,Bahia/BA
335342,00:00 - 1T,09:00 - 2T,8,Atlético/GO
182944,00:00 - 1T,45:00 - 2T,8,Bahia/BA
293172,00:00 - 1T,42:00 - 2T,9,Atlético/GO
334457,00:00 - 1T,32:00 - 2T,9,Bahia/BA
330015,00:00 - 1T,45:00 - 2T,10,Atlético/GO
176512,00:00 - 1T,45:00 - 2T,10,Bahia/BA
292833,00:00 - 1T,45:00 - 2T,11,Atlético/GO
172513,00:00 - 1T,45:00 - 2T,11,Bahia/BA
372444,45:00 - 1T,45 - 2T,15,Bahia/BA
182385,09:00 - 2T,45 - 2T,21,Atlético/GO
370013,17:00 - 2T,45 - 2T,20,Bahia/BA
327121,25:00 - 2T,45 - 2T,20,Atlético/GO
188231,32:00 - 2T,45 - 2T,17,Bahia/BA
169302,42:00 - 2T,45 - 2T,16,Atlético/GO
