CBF,In,Out,Nº,Clube
178962,00:00 - 1T,45:00 - 2T,1,Atlético/GO
135603,00:00 - 1T,45:00 - 2T,1,SampaioCorrea/MA
324513,00:00 - 1T,45:00 - 2T,2,Atlético/GO
175135,00:00 - 1T,45:00 - 2T,2,SampaioCorrea/MA
299840,00:00 - 1T,45:00 - 2T,3,Atlético/GO
184775,00:00 - 1T,45:00 - 2T,3,SampaioCorrea/MA
163660,00:00 - 1T,45:00 - 2T,4,Atlético/GO
291651,00:00 - 1T,45:00 - 2T,4,SampaioCorrea/MA
298432,00:00 - 1T,45:00 - 2T,5,Atlético/GO
304413,00:00 - 1T,45:00 - 2T,5,SampaioCorrea/MA
298485,00:00 - 1T,45:00 - 2T,6,Atlético/GO
185586,00:00 - 1T,45:00 - 2T,6,SampaioCorrea/MA
375562,00:00 - 1T,45:00 - 2T,9,Atlético/GO
544499,00:00 - 1T,45:00 - 2T,10,SampaioCorrea/MA
165040,00:00 - 1T,45:00 - 2T,11,Atlético/GO
178848,00:00 - 1T,45:00 - 2T,11,SampaioCorrea/MA
184226,36:00 - 2T,45 - 2T,17,Atlético/GO
304171,00:00 - 1T,45:00 - 2T,16,SampaioCorrea/MA
340240,31:00 - 2T,45 - 2T,18,Atlético/GO
451258,00:00 - 1T,45:00 - 2T,17,SampaioCorrea/MA
330015,INT,45 - 2T,19,Atlético/GO
318262,00:00 - 1T,45:00 - 2T,19,SampaioCorrea/MA
330015,INT,45 - 2T,19,Atlético/GO
340240,31:00 - 2T,45 - 2T,18,Atlético/GO
184226,36:00 - 2T,45 - 2T,17,Atlético/GO
