CBF,In,Out,Nº,Clube
165699,00:00 - 1T,45:00 - 2T,1,Remo/PA
174338,00:00 - 1T,45:00 - 2T,1,SantaCruz/PE
182847,00:00 - 1T,45:00 - 2T,2,Remo/PA
156325,00:00 - 1T,45:00 - 2T,2,SantaCruz/PE
172741,00:00 - 1T,29:00 - 2T,3,Remo/PA
159190,00:00 - 1T,45:00 - 2T,3,SantaCruz/PE
350930,00:00 - 1T,45:00 - 2T,4,Remo/PA
339225,00:00 - 1T,45:00 - 2T,4,SantaCruz/PE
172851,00:00 - 1T,45:00 - 2T,5,Remo/PA
308871,00:00 - 1T,45:00 - 2T,5,SantaCruz/PE
157314,00:00 - 1T,45:00 - 2T,6,Remo/PA
412230,00:00 - 1T,45:00 - 2T,6,SantaCruz/PE
401831,00:00 - 1T,45:00 - 2T,7,Remo/PA
174372,00:00 - 1T,45:00 - 2T,7,SantaCruz/PE
166249,00:00 - 1T,45:00 - 2T,8,Remo/PA
305873,00:00 - 1T,45:00 - 2T,8,SantaCruz/PE
176302,00:00 - 1T,45:00 - 2T,9,Remo/PA
140778,00:00 - 1T,45:00 - 2T,9,SantaCruz/PE
171339,00:00 - 1T,25:00 - 2T,10,Remo/PA
403850,00:00 - 1T,45:00 - 2T,11,SantaCruz/PE
363480,00:00 - 1T,37:00 - 2T,11,Remo/PA
154374,00:00 - 1T,45:00 - 2T,12,SantaCruz/PE
366127,25:00 - 2T,45 - 2T,20,Remo/PA
174546,29:00 - 2T,45 - 2T,13,Remo/PA
369409,37:00 - 2T,45 - 2T,19,Remo/PA
