CBF,In,Out,Nº,Clube
168000,00:00 - 1T,45:00 - 2T,1,Juazeirense/BA
162211,00:00 - 1T,45:00 - 2T,1,Salgueiro/PE
308061,00:00 - 1T,16:00 - 2T,2,Juazeirense/BA
400624,00:00 - 1T,45:00 - 2T,2,Salgueiro/PE
295574,00:00 - 1T,45:00 - 2T,3,Juazeirense/BA
156119,00:00 - 1T,45:00 - 2T,3,Salgueiro/PE
346384,00:00 - 1T,45:00 - 2T,4,Juazeirense/BA
370098,00:00 - 1T,45:00 - 2T,4,Salgueiro/PE
166860,00:00 - 1T,45:00 - 2T,5,Juazeirense/BA
154197,00:00 - 1T,45:00 - 2T,5,Salgueiro/PE
186173,00:00 - 1T,45:00 - 2T,6,Juazeirense/BA
373263,00:00 - 1T,45:00 - 2T,6,Salgueiro/PE
399252,00:00 - 1T,45:00 - 2T,7,Juazeirense/BA
173357,00:00 - 1T,45:00 - 2T,7,Salgueiro/PE
183707,00:00 - 1T,45:00 - 2T,8,Juazeirense/BA
337194,00:00 - 1T,45:00 - 2T,8,Salgueiro/PE
337491,00:00 - 1T,45:00 - 2T,9,Juazeirense/BA
415615,00:00 - 1T,36:00 - 2T,9,Salgueiro/PE
178966,00:00 - 1T,38:00 - 2T,10,Juazeirense/BA
533140,00:00 - 1T,22:00 - 2T,10,Salgueiro/PE
393565,00:00 - 1T,31:00 - 2T,11,Juazeirense/BA
309086,00:00 - 1T,INT,11,Salgueiro/PE
533069,INT,45 - 2T,17,Salgueiro/PE
166508,16:00 - 2T,45 - 2T,17,Juazeirense/BA
416948,22:00 - 2T,45 - 2T,18,Salgueiro/PE
172922,31:00 - 2T,45 - 2T,19,Juazeirense/BA
394142,36:00 - 2T,45 - 2T,16,Salgueiro/PE
402566,38:00 - 2T,45 - 2T,20,Juazeirense/BA
