CBF,In,Out,Nº,Clube
170121,00:00 - 1T,45:00 - 2T,1,Cabofriense/RJ
156218,00:00 - 1T,45:00 - 2T,1,Brasil/RS
176655,00:00 - 1T,45:00 - 2T,2,Cabofriense/RJ
161270,00:00 - 1T,45:00 - 2T,2,Brasil/RS
174585,00:00 - 1T,45:00 - 2T,3,Cabofriense/RJ
140044,00:00 - 1T,45:00 - 2T,3,Brasil/RS
182634,00:00 - 1T,45:00 - 2T,4,Cabofriense/RJ
129549,00:00 - 1T,45:00 - 2T,4,Brasil/RS
144430,00:00 - 1T,45:00 - 2T,5,Cabofriense/RJ
146430,00:00 - 1T,45:00 - 2T,5,Brasil/RS
132432,00:00 - 1T,45:00 - 2T,6,Cabofriense/RJ
175720,00:00 - 1T,45:00 - 2T,6,Brasil/RS
179948,00:00 - 1T,45:00 - 2T,7,Cabofriense/RJ
127406,00:00 - 1T,45:00 - 2T,7,Brasil/RS
295764,00:00 - 1T,45:00 - 2T,8,Cabofriense/RJ
179012,00:00 - 1T,45:00 - 2T,8,Brasil/RS
161624,00:00 - 1T,45:00 - 2T,9,Cabofriense/RJ
158841,00:00 - 1T,45:00 - 2T,9,Brasil/RS
147378,00:00 - 1T,45:00 - 2T,10,Cabofriense/RJ
167128,00:00 - 1T,45:00 - 2T,10,Brasil/RS
336477,00:00 - 1T,45:00 - 2T,11,Cabofriense/RJ
293164,00:00 - 1T,45:00 - 2T,11,Brasil/RS
