CBF,In,Out,Nº,Clube
178321,00:00 - 1T,45:00 - 2T,1,J.Malucelli/PR
152238,00:00 - 1T,45:00 - 2T,1,EspiritoSanto/ES
300768,00:00 - 1T,45:00 - 2T,2,J.Malucelli/PR
337174,00:00 - 1T,45:00 - 2T,2,EspiritoSanto/ES
169288,00:00 - 1T,45:00 - 2T,3,J.Malucelli/PR
138059,00:00 - 1T,45:00 - 2T,3,EspiritoSanto/ES
134212,00:00 - 1T,45:00 - 2T,4,J.Malucelli/PR
343716,00:00 - 1T,45:00 - 2T,4,EspiritoSanto/ES
291723,00:00 - 1T,45:00 - 2T,5,J.Malucelli/PR
292227,00:00 - 1T,45:00 - 2T,5,EspiritoSanto/ES
319577,00:00 - 1T,45:00 - 2T,6,J.Malucelli/PR
182527,00:00 - 1T,45:00 - 2T,6,EspiritoSanto/ES
315023,00:00 - 1T,45:00 - 2T,7,J.Malucelli/PR
401934,00:00 - 1T,45:00 - 2T,7,EspiritoSanto/ES
300738,00:00 - 1T,45:00 - 2T,8,J.Malucelli/PR
172362,00:00 - 1T,45:00 - 2T,8,EspiritoSanto/ES
168964,00:00 - 1T,45:00 - 2T,9,J.Malucelli/PR
132962,00:00 - 1T,45:00 - 2T,9,EspiritoSanto/ES
379134,00:00 - 1T,45:00 - 2T,10,J.Malucelli/PR
161041,00:00 - 1T,45:00 - 2T,10,EspiritoSanto/ES
171945,00:00 - 1T,45:00 - 2T,11,J.Malucelli/PR
155141,00:00 - 1T,45:00 - 2T,11,EspiritoSanto/ES
