CBF,Time,Type,Game
183702,27:00 - 1T,NR,127
174754,+1 - 2T,NR,127
145883,16:00 - 1T,CT,129
177588,31:00 - 2T,PN,129
309982,39:00 - 2T,NR,129
306616,10:00 - 2T,NR,130
169114,+3 - 2T,NR,130
168766,42:00 - 1T,NR,131
171998,18:00 - 2T,NR,131
402984,23:00 - 1T,NR,132
311336,40:00 - 2T,NR,132
402984,45:00 - 2T,NR,132
507272,30:00 - 2T,NR,133
180790,31:00 - 1T,CT,135
306132,39:00 - 1T,NR,136
168982,05:00 - 2T,NR,136
168982,14:00 - 2T,NR,136
389192,21:00 - 2T,NR,136
167617,33:00 - 2T,PN,136
292366,17:00 - 1T,NR,139
148994,31:00 - 1T,NR,139
155840,37:00 - 1T,NR,139
178836,05:00 - 2T,NR,139
298469,30:00 - 2T,NR,139
298469,38:00 - 2T,NR,139
291732,45:00 - 2T,NR,139
291380,07:00 - 1T,NR,140
298438,22:00 - 1T,NR,140
322169,19:00 - 2T,NR,140
291534,29:00 - 2T,NR,140
152954,08:00 - 2T,NR,142
318254,44:00 - 2T,NR,142
172142,08:00 - 1T,NR,143
177749,17:00 - 1T,NR,143
138321,34:00 - 1T,NR,143
172142,09:00 - 2T,NR,143
170812,41:00 - 2T,NR,143
187570,01:00 - 1T,NR,144
150176,22:00 - 1T,NR,144
291732,40:00 - 1T,NR,145
178836,+2 - 1T,PN,145
186502,35:00 - 2T,NR,145
350148,15:00 - 1T,NR,146
159343,+3 - 1T,NR,146
161745,35:00 - 2T,NR,146
174348,15:00 - 2T,NR,147
291540,28:00 - 2T,CT,147
168766,44:00 - 2T,PN,147
298595,25:00 - 2T,NR,148
155550,10:00 - 2T,NR,149
168008,37:00 - 1T,NR,150
152954,44:00 - 1T,NR,150
175545,44:00 - 1T,NR,151
138321,26:00 - 2T,PN,151
307366,28:00 - 2T,NR,151
182609,07:00 - 1T,NR,153
293440,42:00 - 2T,NR,153
161745,15:00 - 1T,FT,155
159343,20:00 - 1T,NR,155
120743,26:00 - 1T,PN,155
349171,+1 - 1T,NR,155
159343,28:00 - 2T,NR,155
165836,03:00 - 1T,NR,157
168387,14:00 - 1T,NR,157
328813,19:00 - 1T,NR,157
291534,44:00 - 2T,NR,157
335312,12:00 - 1T,NR,158
298595,17:00 - 1T,NR,158
152954,24:00 - 1T,NR,159
320839,25:00 - 1T,NR,159
152954,28:00 - 1T,NR,159
311336,43:00 - 1T,NR,159
460476,11:00 - 2T,NR,159
174360,33:00 - 2T,NR,160
335611,01:00 - 2T,NR,161
337830,05:00 - 1T,NR,166
168008,09:00 - 1T,NR,166
331937,36:00 - 1T,NR,166
168008,17:00 - 2T,NR,166
311336,23:00 - 2T,NR,166
166061,10:00 - 1T,NR,167
419387,16:00 - 2T,NR,168
144746,33:00 - 2T,PN,168
152954,02:00 - 1T,NR,169
172142,07:00 - 1T,NR,169
337830,+2 - 1T,PN,169
318254,14:00 - 2T,NR,169
166061,35:00 - 2T,NR,169
178361,34:00 - 1T,NR,170
353824,41:00 - 1T,NR,170
161269,12:00 - 2T,NR,170
402208,35:00 - 2T,NR,170
298595,39:00 - 2T,NR,170
298595,08:00 - 1T,NR,171
402208,13:00 - 2T,NR,171
150201,+1 - 1T,NR,172
