CBF,In,Out,Nº,Clube
140841,00:00 - 1T,45:00 - 2T,1,Botafogo/RJ
177010,00:00 - 1T,45:00 - 2T,38,Figueirense/SC
184174,00:00 - 1T,45:00 - 2T,2,Botafogo/RJ
137982,00:00 - 1T,45:00 - 2T,3,Figueirense/SC
298402,00:00 - 1T,45:00 - 2T,3,Botafogo/RJ
358318,00:00 - 1T,45:00 - 2T,6,Figueirense/SC
158204,00:00 - 1T,45:00 - 2T,4,Botafogo/RJ
159341,00:00 - 1T,45:00 - 2T,8,Figueirense/SC
158675,00:00 - 1T,45:00 - 2T,5,Botafogo/RJ
185680,00:00 - 1T,45:00 - 2T,9,Figueirense/SC
387314,00:00 - 1T,45:00 - 2T,6,Botafogo/RJ
311033,00:00 - 1T,28:00 - 1T,12,Figueirense/SC
291732,00:00 - 1T,45:00 - 2T,7,Botafogo/RJ
326522,00:00 - 1T,43:00 - 1T,15,Figueirense/SC
293420,00:00 - 1T,45:00 - 2T,8,Botafogo/RJ
170427,00:00 - 1T,15:00 - 2T,16,Figueirense/SC
372434,00:00 - 1T,42:00 - 2T,9,Botafogo/RJ
188643,00:00 - 1T,45:00 - 2T,20,Figueirense/SC
183975,00:00 - 1T,37:00 - 1T,10,Botafogo/RJ
175560,00:00 - 1T,45:00 - 2T,28,Figueirense/SC
307602,00:00 - 1T,15:00 - 2T,11,Botafogo/RJ
175065,00:00 - 1T,45:00 - 2T,77,Figueirense/SC
306852,28:00 - 1T,45:00 - 2T,99,Figueirense/SC
309584,37:00 - 1T,45:00 - 2T,16,Botafogo/RJ
324030,43:00 - 1T,45:00 - 2T,11,Figueirense/SC
137972,15:00 - 2T,45:00 - 2T,19,Botafogo/RJ
303718,15:00 - 2T,45:00 - 2T,27,Figueirense/SC
337172,42:00 - 2T,45:00 - 2T,18,Botafogo/RJ
