Game,Home,Away
001,VitóriadaConquista/BA,Coritiba/PR
002,Campinense/PB,PontePreta/SP
003,Luziânia/DF,Vitória/BA
004,Ferroviária/SP,Asa/AL
005,SãoBento/SP,Paraná/PR
006,Pstc/PR,Ypiranga/RS
007,Audax/SP,América/RN
008,7deSetembro/MS,Ríver/PI
009,Gurupi/TO,Londrina/PR
010,S.francisco/PA,Botafogo/PB
011,Sinop/MT,Salgueiro/PE
012,Altos/PI,Crb/AL
013,Rondoniense/RO,Cuiabá/MT
014,SãoRaimundo/RR,Boa/MG
015,Csa/AL,Sport/PE
016,Caldense/MG,Corinthians/SP
017,Atlético/AC,América/MG
019,Santos/AP,VascodaGama/RJ
020,MotoClub/MA,SãoPaulo/SP
021,Desportiva/ES,Avaí/SC
022,Boavista/RJ,Ceará/CE
023,Friburguense/RJ,Oeste/SP
024,Brusque/SC,Remo/PA
025,Urt/MG,Luverdense/MT
026,Anápolis/GO,Bragantino/SP
027,Ceilândia/DF,ABC/RN
028,Uniclinic/CE,Portuguesa/SP
029,Comercial/MS,Joinville/SC
030,SãoRaimundo/PA,Fortaleza/CE
031,Murici/AL,Juventude/RS
032,Guarani/CE,Náutico/PE
033,VoltaRedonda/RJ,Cruzeiro/MG
034,Globo/RN,Fluminense/RJ
035,PrincesadoSolimões/AM,Internacional/RS
036,Itabaiana/SE,Goiás/GO
037,RioBranco/AC,Figueirense/SC
038,SantoAndré/SP,Criciúma/SC
039,Sergipe/SE,Bahia/BA
040,FastClube/AM,VilaNova/GO
042,Portuguesa/SP,Boavista/RJ
043,Sinop/MT,Fluminense/RJ
045,Vitória/BA,Bragantino/SP
047,Cruzeiro/MG,S.francisco/PA
048,Internacional/RS,Oeste/SP
049,Coritiba/PR,Asa/AL
050,Paraná/PR,Bahia/BA
051,SampaioCorrea/MA,Guarani/CE
052,Joinville/SC,SãoRaimundo/PA
055,Pstc/PR,SãoPaulo/SP
057,Gurupi/TO,RioBranco/AC
060,VilaNova/GO,VascodaGama/RJ
061,Goiás/GO,Cuiabá/MT
062,SãoPaulo/SP,ABC/RN
063,Joinville/SC,Gurupi/TO
064,Boavista/RJ,Sport/PE
065,Murici/AL,Cruzeiro/MG
066,SampaioCorrea/MA,Internacional/RS
067,VascodaGama/RJ,Vitória/BA
068,Criciúma/SC,Fluminense/RJ
069,Luverdense/MT,Corinthians/SP
070,Asa/AL,Paraná/PR
071,Fluminense/RJ,Criciúma/SC
072,Vitória/BA,VascodaGama/RJ
073,ABC/RN,SãoPaulo/SP
074,Gurupi/TO,Joinville/SC
075,Cruzeiro/MG,Murici/AL
076,Sport/PE,Boavista/RJ
077,Internacional/RS,SampaioCorrea/MA
078,Corinthians/SP,Luverdense/MT
079,Cuiabá/MT,Goiás/GO
081,Sport/PE,Joinville/SC
082,Internacional/RS,Corinthians/SP
083,Vitória/BA,Paraná/PR
084,Goiás/GO,Fluminense/RJ
085,SãoPaulo/SP,Cruzeiro/MG
086,Paraná/PR,Vitória/BA
087,Cruzeiro/MG,SãoPaulo/SP
089,Fluminense/RJ,Goiás/GO
091,Santos/SP,Paysandu/PA
092,Botafogo/RJ,Sport/PE
093,Cruzeiro/MG,Chapecoense/SC
094,Flamengo/RJ,Atlético/GO
095,SantaCruz/PE,Atlético/PR
096,Paraná/PR,Atlético/MG
097,Grêmio/RS,Fluminense/RJ
098,Palmeiras/SP,Internacional/RS
099,Paysandu/PA,Santos/SP
100,Atlético/GO,Flamengo/RJ
101,Atlético/MG,Paraná/PR
102,Atlético/PR,SantaCruz/PE
103,Fluminense/RJ,Grêmio/RS
104,Internacional/RS,Palmeiras/SP
105,Sport/PE,Botafogo/RJ
106,Chapecoense/SC,Cruzeiro/MG
107,Grêmio/RS,Atlético/PR
108,Palmeiras/SP,Cruzeiro/MG
109,Flamengo/RJ,Santos/SP
110,Atlético/MG,Botafogo/RJ
111,Botafogo/RJ,Atlético/MG
112,Santos/SP,Flamengo/RJ
113,Cruzeiro/MG,Palmeiras/SP
114,Atlético/PR,Grêmio/RS
115,Botafogo/RJ,Flamengo/RJ
116,Grêmio/RS,Cruzeiro/MG
117,Flamengo/RJ,Botafogo/RJ
119,Flamengo/RJ,Cruzeiro/MG
120,Cruzeiro/MG,Flamengo/RJ
