CBF,Time,Type,Game
402413,02:00 - 2T,NR,001
161194,14:00 - 1T,NR,011
158615,21:00 - 1T,NR,011
360517,26:00 - 2T,NR,011
141880,26:00 - 1T,NR,012
185679,23:00 - 2T,NR,012
126367,14:00 - 2T,PN,018
126367,+2 - 2T,NR,018
176522,32:00 - 1T,NR,029
176522,27:00 - 2T,NR,029
172142,33:00 - 2T,NR,029
133769,35:00 - 2T,NR,029
185974,30:00 - 1T,NR,061
173538,09:00 - 1T,NR,064
164237,20:00 - 1T,NR,064
188231,29:00 - 1T,NR,064
107639,35:00 - 1T,FT,064
188231,10:00 - 2T,NR,064
121283,16:00 - 1T,NR,072
292942,01:00 - 2T,NR,072
173760,11:00 - 2T,NR,072
402413,36:00 - 2T,NR,072
174223,01:00 - 1T,NR,125
123816,14:00 - 1T,NR,125
176522,29:00 - 2T,NR,125
348196,43:00 - 2T,NR,125
138908,20:00 - 2T,NR,150
158204,25:00 - 2T,NR,150
158615,26:00 - 2T,NR,150
177588,24:00 - 1T,NR,163
177588,34:00 - 1T,NR,163
298911,30:00 - 2T,NR,163
420184,38:00 - 2T,PN,163
122995,31:00 - 1T,NR,189
122995,+1 - 1T,FT,189
161745,30:00 - 1T,FT,221
188453,36:00 - 2T,NR,221
155743,40:00 - 2T,NR,221
130166,30:00 - 1T,NR,222
167958,06:00 - 2T,NR,222
139091,30:00 - 1T,PN,259
122631,43:00 - 1T,NR,259
122631,45:00 - 1T,FT,259
126273,11:00 - 1T,NR,261
137644,28:00 - 1T,NR,262
186467,26:00 - 2T,NR,262
151437,36:00 - 2T,NR,262
160379,16:00 - 1T,NR,264
188453,25:00 - 1T,NR,264
152788,35:00 - 1T,NR,265
444943,11:00 - 2T,NR,265
175242,44:00 - 2T,NR,265
141880,35:00 - 1T,PN,266
150547,33:00 - 2T,FT,266
291274,32:00 - 2T,NR,268
332318,35:00 - 2T,NR,268
139091,17:00 - 2T,NR,269
138056,36:00 - 1T,NR,270
179832,06:00 - 2T,PN,270
159247,37:00 - 2T,NR,270
186467,12:00 - 1T,NR,271
310627,42:00 - 1T,NR,271
158615,18:00 - 2T,NR,271
295548,38:00 - 1T,NR,272
150549,45:00 - 2T,NR,272
180838,11:00 - 1T,NR,274
327121,45:00 - 1T,NR,274
164237,25:00 - 2T,NR,274
299481,18:00 - 1T,NR,275
176512,27:00 - 1T,NR,275
348196,+1 - 1T,NR,275
182246,24:00 - 2T,NR,275
132420,37:00 - 2T,NR,275
138056,04:00 - 1T,NR,276
179832,31:00 - 1T,NR,276
295792,38:00 - 1T,NR,276
307680,23:00 - 2T,NR,276
152788,16:00 - 1T,NR,277
307366,19:00 - 1T,NR,277
176375,23:00 - 1T,NR,277
292942,04:00 - 2T,PN,277
152788,08:00 - 2T,PN,277
173277,41:00 - 2T,NR,278
293440,02:00 - 1T,NR,279
164709,44:00 - 1T,NR,280
360517,23:00 - 2T,NR,280
354183,45:00 - 2T,NR,280
137340,36:00 - 1T,NR,281
138056,22:00 - 2T,NR,281
185974,06:00 - 2T,NR,282
188453,33:00 - 2T,NR,282
186467,39:00 - 2T,NR,282
316737,30:00 - 1T,NR,283
184364,20:00 - 2T,NR,283
