CBF,In,Out,Nº,Clube
511533,00:00 - 1T,45:00 - 2T,1,Botafogo/RJ
188398,00:00 - 1T,45:00 - 2T,22,Santos/SP
318309,00:00 - 1T,45:00 - 2T,2,Botafogo/RJ
320593,00:00 - 1T,45:00 - 2T,3,Santos/SP
540906,00:00 - 1T,45:00 - 2T,3,Botafogo/RJ
186450,00:00 - 1T,45:00 - 2T,6,Santos/SP
315637,00:00 - 1T,45:00 - 2T,4,Botafogo/RJ
633531,00:00 - 1T,45:00 - 2T,7,Santos/SP
354387,00:00 - 1T,12:00 - 2T,5,Botafogo/RJ
631623,00:00 - 1T,INT,9,Santos/SP
167201,00:00 - 1T,45:00 - 2T,6,Botafogo/RJ
646668,00:00 - 1T,45:00 - 2T,10,Santos/SP
161625,00:00 - 1T,23:00 - 2T,7,Botafogo/RJ
334559,00:00 - 1T,45:00 - 2T,21,Santos/SP
155840,00:00 - 1T,45:00 - 2T,8,Botafogo/RJ
646663,00:00 - 1T,45:00 - 2T,26,Santos/SP
451607,00:00 - 1T,17:00 - 2T,9,Botafogo/RJ
295792,00:00 - 1T,09:00 - 2T,27,Santos/SP
185012,00:00 - 1T,45:00 - 2T,10,Botafogo/RJ
377476,00:00 - 1T,45:00 - 2T,28,Santos/SP
302795,00:00 - 1T,45:00 - 2T,11,Botafogo/RJ
331842,00:00 - 1T,06:00 - 2T,41,Santos/SP
184307,INT,45:00 - 2T,11,Santos/SP
170272,06:00 - 2T,45:00 - 2T,4,Santos/SP
373768,09:00 - 2T,45:00 - 2T,36,Santos/SP
359362,12:00 - 2T,45:00 - 2T,18,Botafogo/RJ
291732,17:00 - 2T,45:00 - 2T,17,Botafogo/RJ
378203,23:00 - 2T,45:00 - 2T,15,Botafogo/RJ
