Game,Home,Away
002,Boa/MG,Chapecoense/SC
003,Figueirense/SC,América/RN
004,Joinville/SC,Bragantino/SP
005,Icasa/CE,Sport/PE
006,A.b.c./RN,Paraná/PR
007,Palmeiras/SP,Atlético/GO
008,SãoCaetano/SP,Ceará/CE
009,Guaratinguetá/SP,América/MG
010,Paysandu/PA,A.s.a./AL
011,A.s.a./AL,Palmeiras/SP
012,América/MG,Figueirense/SC
013,Avaí/SC,Guaratinguetá/SP
014,Chapecoense/SC,Oeste/SP
015,Ceará/CE,Paysandu/PA
017,Paraná/PR,SãoCaetano/SP
019,Bragantino/SP,Boa/MG
020,Sport/PE,A.b.c./RN
021,Oeste/SP,Paraná/PR
025,Icasa/CE,Avaí/SC
027,Palmeiras/SP,América/MG
029,Bragantino/SP,Guaratinguetá/SP
030,Paysandu/PA,América/RN
031,Oeste/SP,Ceará/CE
032,Boa/MG,A.s.a./AL
033,Figueirense/SC,Chapecoense/SC
034,Joinville/SC,América/RN
035,Icasa/CE,América/MG
036,A.b.c./RN,Bragantino/SP
037,Palmeiras/SP,Avaí/SC
038,SãoCaetano/SP,Atlético/GO
039,Guaratinguetá/SP,Sport/PE
040,Paysandu/PA,Paraná/PR
041,A.s.a./AL,Icasa/CE
042,América/MG,Oeste/SP
043,Avaí/SC,Joinville/SC
044,Chapecoense/SC,A.b.c./RN
045,Ceará/CE,Boa/MG
048,Atlético/GO,Paysandu/PA
049,Bragantino/SP,SãoCaetano/SP
050,Sport/PE,Palmeiras/SP
051,Oeste/SP,SãoCaetano/SP
052,Boa/MG,A.b.c./RN
054,Chapecoense/SC,Paysandu/PA
055,Ceará/CE,Figueirense/SC
056,América/RN,Palmeiras/SP
057,Paraná/PR,A.s.a./AL
058,Atlético/GO,Icasa/CE
059,Guaratinguetá/SP,Joinville/SC
060,Sport/PE,Bragantino/SP
062,América/MG,Paraná/PR
064,Joinville/SC,Sport/PE
065,Icasa/CE,Ceará/CE
066,A.b.c./RN,Atlético/GO
067,Palmeiras/SP,Oeste/SP
068,SãoCaetano/SP,Avaí/SC
069,Bragantino/SP,América/RN
071,Oeste/SP,Boa/MG
072,América/MG,Bragantino/SP
073,Avaí/SC,Paraná/PR
074,Joinville/SC,Chapecoense/SC
076,América/RN,Sport/PE
078,Atlético/GO,Figueirense/SC
079,Guaratinguetá/SP,Icasa/CE
080,Paysandu/PA,SãoCaetano/SP
081,A.s.a./AL,Atlético/GO
082,Boa/MG,Paysandu/PA
083,Figueirense/SC,Palmeiras/SP
084,Chapecoense/SC,América/MG
085,Icasa/CE,Oeste/SP
087,Paraná/PR,América/RN
088,SãoCaetano/SP,Guaratinguetá/SP
090,Sport/PE,Avaí/SC
091,A.s.a./AL,Bragantino/SP
092,Boa/MG,América/MG
093,Figueirense/SC,SãoCaetano/SP
094,Chapecoense/SC,Avaí/SC
095,Icasa/CE,Joinville/SC
096,A.b.c./RN,Paysandu/PA
097,Paraná/PR,Ceará/CE
098,Atlético/GO,América/RN
100,Sport/PE,Oeste/SP
101,Oeste/SP,Guaratinguetá/SP
102,América/MG,Sport/PE
103,Avaí/SC,Atlético/GO
104,Joinville/SC,Boa/MG
105,Ceará/CE,Chapecoense/SC
106,América/RN,A.s.a./AL
107,Palmeiras/SP,Icasa/CE
108,SãoCaetano/SP,A.b.c./RN
109,Bragantino/SP,Paraná/PR
110,Paysandu/PA,Figueirense/SC
111,Oeste/SP,A.s.a./AL
112,América/MG,Ceará/CE
113,Avaí/SC,Paysandu/PA
114,Joinville/SC,Figueirense/SC
115,Icasa/CE,SãoCaetano/SP
116,América/RN,Boa/MG
117,Palmeiras/SP,Bragantino/SP
119,Guaratinguetá/SP,A.b.c./RN
120,Sport/PE,Chapecoense/SC
122,Boa/MG,Guaratinguetá/SP
123,Figueirense/SC,Icasa/CE
124,Chapecoense/SC,Atlético/GO
125,Ceará/CE,América/RN
126,A.b.c./RN,Oeste/SP
127,Paraná/PR,Joinville/SC
128,SãoCaetano/SP,Palmeiras/SP
129,Bragantino/SP,Avaí/SC
130,Paysandu/PA,América/MG
132,Boa/MG,Icasa/CE
133,Figueirense/SC,Avaí/SC
135,Ceará/CE,Atlético/GO
136,América/RN,A.b.c./RN
137,Palmeiras/SP,Paraná/PR
138,SãoCaetano/SP,Sport/PE
139,Bragantino/SP,Oeste/SP
141,Oeste/SP,Paysandu/PA
142,América/MG,SãoCaetano/SP
143,Avaí/SC,A.s.a./AL
145,Icasa/CE,A.b.c./RN
146,América/RN,Chapecoense/SC
147,Paraná/PR,Boa/MG
148,Atlético/GO,Bragantino/SP
149,Guaratinguetá/SP,Figueirense/SC
150,Sport/PE,Ceará/CE
151,Oeste/SP,Joinville/SC
152,América/MG,América/RN
153,Avaí/SC,Ceará/CE
154,Chapecoense/SC,Paraná/PR
155,Icasa/CE,Bragantino/SP
157,Palmeiras/SP,Paysandu/PA
158,SãoCaetano/SP,Boa/MG
159,Guaratinguetá/SP,A.s.a./AL
160,Sport/PE,Atlético/GO
161,A.s.a./AL,A.b.c./RN
162,Boa/MG,Palmeiras/SP
163,Figueirense/SC,Oeste/SP
164,Joinville/SC,SãoCaetano/SP
165,Ceará/CE,Guaratinguetá/SP
167,Paraná/PR,Sport/PE
168,Atlético/GO,América/MG
169,Bragantino/SP,Chapecoense/SC
170,Paysandu/PA,Icasa/CE
171,A.s.a./AL,Figueirense/SC
172,América/MG,Joinville/SC
173,Avaí/SC,A.b.c./RN
174,Chapecoense/SC,Icasa/CE
175,Ceará/CE,Palmeiras/SP
176,América/RN,SãoCaetano/SP
179,Bragantino/SP,Paysandu/PA
180,Sport/PE,Boa/MG
181,Oeste/SP,América/RN
182,Boa/MG,Avaí/SC
183,Figueirense/SC,Bragantino/SP
184,Joinville/SC,Ceará/CE
185,Icasa/CE,Paraná/PR
186,A.b.c./RN,América/MG
187,Palmeiras/SP,Chapecoense/SC
188,SãoCaetano/SP,A.s.a./AL
189,Guaratinguetá/SP,Atlético/GO
190,Paysandu/PA,Sport/PE
191,A.s.a./AL,Paysandu/PA
192,América/MG,Guaratinguetá/SP
193,Avaí/SC,Oeste/SP
194,Chapecoense/SC,Boa/MG
195,Ceará/CE,SãoCaetano/SP
196,América/RN,Figueirense/SC
198,Atlético/GO,Palmeiras/SP
199,Bragantino/SP,Joinville/SC
200,Sport/PE,Icasa/CE
201,Oeste/SP,Chapecoense/SC
203,Figueirense/SC,América/MG
204,Joinville/SC,Atlético/GO
205,Icasa/CE,América/RN
206,A.b.c./RN,Sport/PE
207,Palmeiras/SP,A.s.a./AL
208,SãoCaetano/SP,Paraná/PR
209,Guaratinguetá/SP,Avaí/SC
210,Paysandu/PA,Ceará/CE
211,A.s.a./AL,Joinville/SC
212,América/MG,Palmeiras/SP
213,Avaí/SC,Icasa/CE
214,Chapecoense/SC,SãoCaetano/SP
216,América/RN,Paysandu/PA
217,Paraná/PR,Oeste/SP
218,Atlético/GO,Boa/MG
219,Guaratinguetá/SP,Bragantino/SP
220,Sport/PE,Figueirense/SC
221,A.s.a./AL,Boa/MG
223,Avaí/SC,Palmeiras/SP
225,Ceará/CE,Oeste/SP
226,América/RN,Joinville/SC
227,Paraná/PR,Paysandu/PA
228,Atlético/GO,SãoCaetano/SP
229,Bragantino/SP,A.b.c./RN
230,Sport/PE,Guaratinguetá/SP
231,Oeste/SP,América/MG
232,Boa/MG,Ceará/CE
233,Figueirense/SC,Paraná/PR
234,Joinville/SC,Avaí/SC
235,Icasa/CE,A.s.a./AL
238,SãoCaetano/SP,Bragantino/SP
239,Guaratinguetá/SP,América/RN
240,Paysandu/PA,Atlético/GO
242,América/MG,Avaí/SC
243,Figueirense/SC,Ceará/CE
245,Icasa/CE,Atlético/GO
246,A.b.c./RN,Boa/MG
247,Palmeiras/SP,América/RN
248,SãoCaetano/SP,Oeste/SP
249,Bragantino/SP,Sport/PE
250,Paysandu/PA,Chapecoense/SC
253,Avaí/SC,SãoCaetano/SP
254,Chapecoense/SC,A.s.a./AL
255,Ceará/CE,Icasa/CE
257,Paraná/PR,América/MG
258,Atlético/GO,A.b.c./RN
259,Guaratinguetá/SP,Paysandu/PA
260,Sport/PE,Joinville/SC
261,A.s.a./AL,Ceará/CE
262,Boa/MG,Oeste/SP
264,Chapecoense/SC,Joinville/SC
265,Icasa/CE,Guaratinguetá/SP
268,SãoCaetano/SP,Paysandu/PA
269,Bragantino/SP,América/MG
270,Sport/PE,América/RN
271,Oeste/SP,Icasa/CE
275,Ceará/CE,Bragantino/SP
276,América/RN,Paraná/PR
278,Atlético/GO,A.s.a./AL
279,Guaratinguetá/SP,SãoCaetano/SP
280,Paysandu/PA,Boa/MG
