CBF,In,Out,Nº,Clube
151033,00:00 - 1T,45:00 - 2T,12,América/MG
311099,00:00 - 1T,45:00 - 2T,1,Crb/AL
186564,00:00 - 1T,45:00 - 2T,2,América/MG
184247,00:00 - 1T,23:00 - 2T,2,Crb/AL
160686,00:00 - 1T,45:00 - 2T,3,América/MG
180253,00:00 - 1T,45:00 - 2T,3,Crb/AL
381149,00:00 - 1T,45:00 - 2T,4,América/MG
165391,00:00 - 1T,45:00 - 2T,4,Crb/AL
175878,00:00 - 1T,45:00 - 2T,6,América/MG
178674,00:00 - 1T,45:00 - 2T,5,Crb/AL
340891,00:00 - 1T,INT,7,América/MG
161603,00:00 - 1T,45:00 - 2T,6,Crb/AL
337261,00:00 - 1T,45:00 - 2T,8,América/MG
167070,00:00 - 1T,45:00 - 2T,7,Crb/AL
159343,00:00 - 1T,45:00 - 2T,9,América/MG
293529,00:00 - 1T,23:00 - 2T,8,Crb/AL
183381,00:00 - 1T,45:00 - 2T,11,América/MG
148961,00:00 - 1T,42:00 - 1T,9,Crb/AL
177802,00:00 - 1T,45:00 - 2T,19,América/MG
326622,00:00 - 1T,45:00 - 2T,10,Crb/AL
178472,00:00 - 1T,28:00 - 2T,21,América/MG
177357,00:00 - 1T,45:00 - 2T,11,Crb/AL
178684,INT,45:00 - 2T,23,América/MG
160251,42:00 - 1T,45:00 - 2T,19,Crb/AL
299878,23:00 - 2T,45:00 - 2T,18,Crb/AL
176981,23:00 - 2T,45:00 - 2T,20,Crb/AL
358808,28:00 - 2T,45:00 - 2T,5,América/MG
