CBF,Time,Type,Game
510110,17:00 - 2T,NR,001
168072,40:00 - 2T,NR,001
173180,42:00 - 2T,NR,001
694029,24:00 - 1T,NR,002
604967,39:00 - 1T,CT,002
185126,22:00 - 2T,NR,002
694029,+3 - 2T,NR,002
175223,16:00 - 1T,NR,003
155855,42:00 - 1T,NR,004
303545,37:00 - 1T,NR,006
378019,02:00 - 2T,CT,006
341345,09:00 - 2T,NR,006
376405,33:00 - 2T,NR,006
168982,02:00 - 1T,NR,007
158893,34:00 - 1T,NR,007
389378,11:00 - 2T,NR,007
174071,45:00 - 1T,NR,009
308275,19:00 - 2T,NR,009
599514,27:00 - 2T,NR,009
316561,+4 - 2T,NR,009
313001,04:00 - 2T,NR,011
168982,33:00 - 2T,NR,013
300229,02:00 - 1T,NR,014
305723,06:00 - 1T,NR,014
172142,29:00 - 1T,PN,014
189027,27:00 - 2T,NR,014
174360,29:00 - 2T,NR,014
303490,40:00 - 2T,CT,016
337261,10:00 - 1T,NR,021
177469,+3 - 2T,NR,021
291732,26:00 - 1T,NR,023
427774,41:00 - 1T,NR,023
183975,38:00 - 2T,PN,023
526893,07:00 - 1T,NR,024
383527,28:00 - 1T,NR,024
371170,33:00 - 1T,NR,024
367343,37:00 - 1T,NR,024
381689,35:00 - 2T,NR,024
321847,44:00 - 2T,NR,024
401315,37:00 - 1T,NR,025
158893,19:00 - 1T,NR,026
522973,40:00 - 1T,NR,026
522973,+1 - 1T,NR,026
334568,30:00 - 2T,NR,026
338185,13:00 - 2T,NR,027
344838,+4 - 2T,PN,027
388312,23:00 - 1T,NR,028
168982,43:00 - 2T,NR,028
318254,11:00 - 1T,NR,029
170563,03:00 - 2T,CT,029
335249,05:00 - 2T,NR,029
339155,36:00 - 2T,NR,029
355362,05:00 - 1T,NR,030
169835,19:00 - 2T,NR,032
168982,24:00 - 2T,NR,033
363229,28:00 - 1T,NR,034
334568,16:00 - 2T,NR,034
374851,29:00 - 2T,NR,034
344838,21:00 - 1T,NR,035
175135,40:00 - 1T,CT,035
371170,26:00 - 2T,NR,035
161437,38:00 - 2T,PN,035
170369,10:00 - 2T,NR,036
326805,19:00 - 2T,NR,036
296314,38:00 - 2T,NR,036
180253,25:00 - 1T,NR,039
369639,10:00 - 2T,PN,039
565236,+4 - 2T,NR,039
170178,10:00 - 2T,NR,040
175135,21:00 - 1T,NR,041
423003,29:00 - 1T,NR,041
169747,43:00 - 2T,FT,041
168982,+1 - 1T,NR,043
168982,31:00 - 2T,PN,043
419133,04:00 - 1T,NR,044
371170,22:00 - 1T,NR,044
381689,02:00 - 2T,NR,044
412193,16:00 - 2T,NR,045
441070,10:00 - 1T,NR,048
292976,14:00 - 1T,NR,048
402630,16:00 - 1T,NR,048
389256,41:00 - 1T,NR,048
389256,05:00 - 2T,NR,048
292976,27:00 - 2T,PN,048
646420,25:00 - 1T,NR,049
370113,44:00 - 1T,NR,049
355362,40:00 - 1T,NR,050
182466,42:00 - 1T,NR,050
304071,26:00 - 1T,NR,051
398805,31:00 - 1T,NR,051
292833,30:00 - 2T,FT,051
465413,45:00 - 1T,NR,054
292976,33:00 - 2T,NR,054
691623,+2 - 2T,NR,054
297781,09:00 - 1T,NR,055
347221,+2 - 2T,NR,055
341345,17:00 - 1T,NR,056
554868,20:00 - 1T,NR,056
170369,13:00 - 2T,NR,056
321577,43:00 - 2T,Gabriel Calabres Nunes,057
367343,23:00 - 2T,PN,058
360467,06:00 - 1T,NR,060
413841,+3 - 2T,NR,060
292282,32:00 - 1T,CT,061
291732,04:00 - 2T,NR,061
381149,14:00 - 2T,NR,061
297781,12:00 - 1T,NR,062
325581,37:00 - 1T,NR,062
316748,06:00 - 2T,FT,064
299156,29:00 - 2T,NR,064
174071,03:00 - 1T,NR,066
381689,15:00 - 1T,NR,066
170026,43:00 - 2T,CT,066
338185,22:00 - 2T,NR,067
158903,30:00 - 2T,NR,069
511641,14:00 - 2T,NR,070
172142,36:00 - 1T,NR,071
168982,39:00 - 2T,NR,071
334568,19:00 - 2T,NR,072
166075,42:00 - 1T,NR,073
394823,30:00 - 2T,NR,073
167201,+1 - 2T,CT,074
389378,10:00 - 1T,NR,075
308427,25:00 - 2T,NR,075
292280,42:00 - 2T,NR,075
360598,+2 - 2T,NR,075
170011,24:00 - 1T,NR,076
401315,40:00 - 1T,NR,076
401315,04:00 - 2T,NR,076
388303,15:00 - 1T,NR,077
533140,02:00 - 2T,NR,077
338185,05:00 - 2T,PN,077
367343,29:00 - 1T,NR,078
166649,36:00 - 1T,CT,078
527047,40:00 - 1T,NR,078
427774,06:00 - 2T,NR,078
183853,12:00 - 2T,PN,078
502057,+3 - 2T,NR,078
419436,09:00 - 2T,NR,080
371170,10:00 - 2T,PN,082
182466,30:00 - 2T,NR,083
172279,45:00 - 2T,Wellington Simiao,084
166075,44:00 - 1T,PN,085
183381,+4 - 1T,NR,085
406111,15:00 - 2T,NR,085
423003,10:00 - 2T,NR,086
363071,24:00 - 1T,NR,087
389378,22:00 - 2T,NR,087
308427,33:00 - 2T,NR,087
158893,+4 - 2T,PN,087
441070,21:00 - 1T,NR,088
292976,34:00 - 1T,NR,088
551375,+3 - 1T,NR,088
168072,43:00 - 2T,PN,088
155541,32:00 - 2T,NR,089
434038,15:00 - 2T,NR,091
369639,12:00 - 1T,NR,092
441035,28:00 - 1T,NR,092
329146,40:00 - 1T,NR,092
170563,43:00 - 1T,NR,092
369639,25:00 - 2T,NR,092
694029,37:00 - 2T,NR,092
565236,+4 - 2T,NR,092
322380,11:00 - 1T,NR,093
188990,28:00 - 1T,NR,093
508468,22:00 - 2T,NR,093
365355,26:00 - 2T,NR,093
172576,22:00 - 1T,NR,094
309584,20:00 - 2T,NR,094
183874,40:00 - 1T,NR,096
427004,02:00 - 2T,NR,096
389378,22:00 - 1T,NR,097
384617,16:00 - 2T,NR,097
185126,32:00 - 2T,NR,098
439733,+4 - 2T,NR,098
427774,14:00 - 1T,NR,100
310724,20:00 - 1T,NR,100
