CBF,Time,Type,Game
133765,30:00 - 2T,PN,082
182088,33:00 - 2T,NR,082
334457,44:00 - 2T,NR,082
160003,18:00 - 1T,NR,084
361147,08:00 - 1T,NR,085
377355,35:00 - 1T,NR,085
140778,02:00 - 2T,NR,085
140778,36:00 - 2T,NR,085
177626,28:00 - 2T,NR,088
333800,03:00 - 1T,NR,089
187548,06:00 - 1T,PN,090
125250,13:00 - 1T,NR,090
178220,14:00 - 2T,NR,091
169747,21:00 - 2T,NR,092
169747,28:00 - 2T,NR,092
172061,39:00 - 1T,NR,093
161851,39:00 - 2T,NR,093
150213,44:00 - 2T,NR,093
140778,10:00 - 1T,NR,094
118442,41:00 - 1T,NR,094
306551,17:00 - 1T,NR,097
328949,39:00 - 2T,NR,097
375562,42:00 - 1T,NR,098
333800,03:00 - 2T,NR,099
184989,33:00 - 2T,NR,099
159247,18:00 - 2T,NR,101
364826,37:00 - 2T,NR,101
364829,+3 - 2T,NR,101
305917,05:00 - 1T,NR,103
181845,35:00 - 1T,NR,103
361147,25:00 - 2T,NR,103
172045,13:00 - 2T,NR,104
169274,03:00 - 2T,NR,105
169945,21:00 - 1T,NR,106
178424,07:00 - 2T,NR,106
185095,32:00 - 2T,NR,106
137759,03:00 - 1T,NR,107
293720,39:00 - 1T,NR,107
187464,05:00 - 1T,NR,110
137418,20:00 - 1T,NR,110
293506,07:00 - 2T,PN,110
186135,32:00 - 2T,NR,110
190137,19:00 - 1T,NR,111
140778,+4 - 2T,NR,111
370076,41:00 - 1T,NR,112
172061,24:00 - 2T,NR,112
177481,27:00 - 2T,NR,112
306024,09:00 - 1T,NR,114
182088,09:00 - 2T,PN,115
301944,30:00 - 2T,NR,116
157823,42:00 - 2T,NR,116
187091,16:00 - 2T,NR,117
302768,06:00 - 2T,NR,118
134389,28:00 - 2T,PN,118
327384,25:00 - 1T,NR,119
327384,12:00 - 2T,NR,119
188164,44:00 - 2T,NR,119
169945,33:00 - 1T,NR,120
326622,27:00 - 2T,NR,120
172061,18:00 - 1T,NR,123
158118,31:00 - 1T,CT,123
