CBF,In,Out,Nº,Clube
165699,00:00 - 1T,45:00 - 2T,1,Remo/PA
184332,00:00 - 1T,45:00 - 2T,1,VoltaRedonda/RJ
391581,00:00 - 1T,45:00 - 2T,4,Remo/PA
317361,00:00 - 1T,45:00 - 2T,2,VoltaRedonda/RJ
322716,00:00 - 1T,45:00 - 2T,7,Remo/PA
306691,00:00 - 1T,45:00 - 2T,3,VoltaRedonda/RJ
369194,00:00 - 1T,24:00 - 2T,9,Remo/PA
184226,00:00 - 1T,45:00 - 2T,5,VoltaRedonda/RJ
160427,00:00 - 1T,10:00 - 2T,10,Remo/PA
306706,00:00 - 1T,45:00 - 2T,6,VoltaRedonda/RJ
177357,00:00 - 1T,45:00 - 2T,14,Remo/PA
426457,00:00 - 1T,45:00 - 2T,7,VoltaRedonda/RJ
305404,00:00 - 1T,16:00 - 2T,20,Remo/PA
176416,00:00 - 1T,45:00 - 2T,8,VoltaRedonda/RJ
337806,00:00 - 1T,45:00 - 2T,26,Remo/PA
187979,00:00 - 1T,45:00 - 2T,9,VoltaRedonda/RJ
403127,00:00 - 1T,45:00 - 2T,44,Remo/PA
359865,00:00 - 1T,45:00 - 2T,10,VoltaRedonda/RJ
186557,00:00 - 1T,45:00 - 2T,87,Remo/PA
342935,00:00 - 1T,45:00 - 2T,22,VoltaRedonda/RJ
371657,00:00 - 1T,45:00 - 2T,90,Remo/PA
184109,00:00 - 1T,45:00 - 2T,28,VoltaRedonda/RJ
526677,10:00 - 2T,45:00 - 2T,77,Remo/PA
332451,16:00 - 2T,45:00 - 2T,93,Remo/PA
401299,24:00 - 2T,45:00 - 2T,11,Remo/PA
