Game,Home,Away
001,PlácidodeCastro/AC,Paragominas/PA
002,Nautico/RR,Nacional/AM
003,Paragominas/PA,Genus/RO
004,Nacional/AM,PlácidodeCastro/AC
005,PlácidodeCastro/AC,Nautico/RR
006,Genus/RO,Nacional/AM
007,Paragominas/PA,Nautico/RR
008,Genus/RO,PlácidodeCastro/AC
009,Nautico/RR,Genus/RO
010,Nacional/AM,Paragominas/PA
011,Nautico/RR,Paragominas/PA
012,PlácidodeCastro/AC,Genus/RO
013,Paragominas/PA,Nacional/AM
014,Genus/RO,Nautico/RR
015,Nautico/RR,PlácidodeCastro/AC
016,Nacional/AM,Genus/RO
017,Genus/RO,Paragominas/PA
018,PlácidodeCastro/AC,Nacional/AM
019,Paragominas/PA,PlácidodeCastro/AC
020,Nacional/AM,Nautico/RR
021,Salgueiro/PE,Parnahyba/PI
022,Gurupi/TO,Maranhão/MA
023,Parnahyba/PI,Ypiranga/AP
024,Maranhão/MA,Salgueiro/PE
025,Salgueiro/PE,Gurupi/TO
027,Parnahyba/PI,Gurupi/TO
028,Ypiranga/AP,Salgueiro/PE
029,Gurupi/TO,Gurupi/TO
030,Maranhão/MA,Parnahyba/PI
031,Gurupi/TO,Parnahyba/PI
032,Salgueiro/PE,Ypiranga/AP
033,Parnahyba/PI,Maranhão/MA
034,Ypiranga/AP,Gurupi/TO
035,Gurupi/TO,Salgueiro/PE
036,Maranhão/MA,Ypiranga/AP
037,Ypiranga/AP,Parnahyba/PI
038,Salgueiro/PE,Maranhão/MA
039,Parnahyba/PI,Salgueiro/PE
040,Maranhão/MA,Gurupi/TO
041,Tiradentes/CE,Central/PE
042,Ypiranga/PE,Guarany/CE
043,Central/PE,Potiguar/RN
044,Guarany/CE,Tiradentes/CE
045,Tiradentes/CE,Ypiranga/PE
046,Potiguar/RN,Guarany/CE
047,Central/PE,Ypiranga/PE
048,Potiguar/RN,Tiradentes/CE
049,Ypiranga/PE,Potiguar/RN
050,Guarany/CE,Central/PE
051,Ypiranga/PE,Central/PE
052,Tiradentes/CE,Potiguar/RN
053,Central/PE,Guarany/CE
054,Potiguar/RN,Ypiranga/PE
055,Ypiranga/PE,Tiradentes/CE
056,Guarany/CE,Potiguar/RN
057,Potiguar/RN,Central/PE
058,Tiradentes/CE,Guarany/CE
059,Central/PE,Tiradentes/CE
060,Guarany/CE,Ypiranga/PE
061,Sergipe/SE,VitóriadaConquista/BA
062,Juazeirense/BA,Botafogo/PB
063,VitóriadaConquista/BA,C.s.a./AL
064,Botafogo/PB,Sergipe/SE
065,Sergipe/SE,Juazeirense/BA
066,C.s.a./AL,Botafogo/PB
067,VitóriadaConquista/BA,Juazeirense/BA
068,C.s.a./AL,Sergipe/SE
069,Juazeirense/BA,C.s.a./AL
070,Botafogo/PB,VitóriadaConquista/BA
071,Juazeirense/BA,VitóriadaConquista/BA
072,Sergipe/SE,C.s.a./AL
073,VitóriadaConquista/BA,Botafogo/PB
074,C.s.a./AL,Juazeirense/BA
075,Juazeirense/BA,Sergipe/SE
076,Botafogo/PB,C.s.a./AL
077,C.s.a./AL,VitóriadaConquista/BA
078,Sergipe/SE,Botafogo/PB
079,VitóriadaConquista/BA,Sergipe/SE
080,Botafogo/PB,Juazeirense/BA
081,Mixto/MT,Aparecidense/GO
082,Goianesia/GO,AguiaNegra/MS
083,Aparecidense/GO,Brasília/DF
084,AguiaNegra/MS,Mixto/MT
085,Mixto/MT,Goianesia/GO
086,Brasília/DF,AguiaNegra/MS
087,Aparecidense/GO,Goianesia/GO
088,Brasília/DF,Mixto/MT
089,Goianesia/GO,Brasília/DF
090,AguiaNegra/MS,Aparecidense/GO
091,Goianesia/GO,Aparecidense/GO
092,Mixto/MT,Brasília/DF
093,Aparecidense/GO,AguiaNegra/MS
094,Brasília/DF,Goianesia/GO
095,Goianesia/GO,Mixto/MT
096,AguiaNegra/MS,Brasília/DF
097,Brasília/DF,Aparecidense/GO
098,Mixto/MT,AguiaNegra/MS
100,AguiaNegra/MS,Goianesia/GO
101,Araxá/MG,NovaIguaçu/RJ
102,Aracruz/ES,Tupi/MG
103,NovaIguaçu/RJ,Resende/RJ
104,Tupi/MG,Araxá/MG
105,Araxá/MG,Aracruz/ES
106,Resende/RJ,Tupi/MG
107,NovaIguaçu/RJ,Aracruz/ES
108,Resende/RJ,Araxá/MG
109,Aracruz/ES,Resende/RJ
110,Tupi/MG,NovaIguaçu/RJ
111,Aracruz/ES,NovaIguaçu/RJ
112,Araxá/MG,Resende/RJ
113,NovaIguaçu/RJ,Tupi/MG
114,Resende/RJ,Aracruz/ES
115,Aracruz/ES,Araxá/MG
116,Tupi/MG,Resende/RJ
117,Resende/RJ,NovaIguaçu/RJ
118,Araxá/MG,Tupi/MG
119,NovaIguaçu/RJ,Araxá/MG
120,Tupi/MG,Aracruz/ES
121,MarcílioDias/SC,SantoAndré/SP
122,Penapolense/SP,Juventude/RS
123,SantoAndré/SP,VillaNova/MG
124,Juventude/RS,MarcílioDias/SC
125,MarcílioDias/SC,Penapolense/SP
126,VillaNova/MG,Juventude/RS
127,SantoAndré/SP,Penapolense/SP
128,VillaNova/MG,MarcílioDias/SC
129,Penapolense/SP,VillaNova/MG
130,Juventude/RS,SantoAndré/SP
131,Penapolense/SP,SantoAndré/SP
132,MarcílioDias/SC,VillaNova/MG
133,SantoAndré/SP,Juventude/RS
134,VillaNova/MG,Penapolense/SP
135,Penapolense/SP,MarcílioDias/SC
136,Juventude/RS,VillaNova/MG
137,VillaNova/MG,SantoAndré/SP
138,MarcílioDias/SC,Juventude/RS
139,SantoAndré/SP,MarcílioDias/SC
140,Juventude/RS,Penapolense/SP
