CBF,Time,Type,Game
384570,09:00 - 1T,NR,001
308668,39:00 - 1T,NR,001
308668,23:00 - 2T,NR,001
153184,27:00 - 2T,NR,001
153184,+1 - 2T,PN,001
156478,15:00 - 2T,NR,006
425397,40:00 - 2T,NR,006
306720,09:00 - 1T,NR,007
171747,+2 - 1T,NR,007
138279,34:00 - 2T,NR,007
138279,37:00 - 2T,NR,007
178915,39:00 - 1T,NR,009
314828,15:00 - 2T,NR,009
314828,45:00 - 2T,NR,009
176420,07:00 - 2T,FT,013
311128,13:00 - 2T,NR,013
163758,17:00 - 2T,NR,013
401299,22:00 - 2T,NR,013
304291,38:00 - 2T,NR,013
175828,41:00 - 1T,NR,015
165474,05:00 - 2T,NR,015
154976,10:00 - 2T,PN,015
175828,20:00 - 2T,NR,015
175828,39:00 - 2T,NR,015
185378,32:00 - 1T,NR,016
338611,36:00 - 1T,NR,016
167617,43:00 - 1T,NR,016
298161,45:00 - 1T,NR,016
508082,03:00 - 2T,NR,016
404317,38:00 - 2T,NR,016
404317,+4 - 2T,NR,016
343576,19:00 - 1T,NR,017
304035,35:00 - 1T,NR,017
428887,+1 - 2T,NR,017
371158,03:00 - 2T,NR,020
168011,37:00 - 1T,CT,021
456887,+2 - 2T,NR,021
155065,19:00 - 1T,NR,023
334205,06:00 - 1T,NR,024
159778,16:00 - 1T,PN,024
186573,+1 - 1T,PN,024
186573,36:00 - 2T,PN,024
142460,02:00 - 1T,NR,025
321445,21:00 - 1T,NR,027
457846,25:00 - 1T,NR,027
331921,38:00 - 1T,NR,027
145601,37:00 - 2T,NR,027
183850,23:00 - 2T,NR,028
324181,13:00 - 2T,NR,031
395726,42:00 - 2T,NR,033
150901,26:00 - 1T,NR,034
329405,+2 - 1T,FT,037
437499,11:00 - 2T,NR,038
404206,17:00 - 2T,FT,038
144455,02:00 - 1T,NR,039
155141,35:00 - 1T,NR,041
457846,36:00 - 1T,NR,041
430673,11:00 - 2T,NR,041
155141,+1 - 2T,NR,041
307285,+1 - 1T,NR,042
298709,01:00 - 2T,NR,042
143841,25:00 - 2T,PN,042
164866,34:00 - 2T,NR,042
341758,19:00 - 1T,NR,048
148428,41:00 - 2T,NR,048
370739,34:00 - 1T,FT,049
399717,39:00 - 1T,NR,049
335259,19:00 - 2T,NR,049
179673,23:00 - 2T,NR,049
370739,33:00 - 2T,FT,049
306720,03:00 - 1T,NR,052
291811,29:00 - 1T,NR,052
187235,34:00 - 1T,NR,052
368187,40:00 - 1T,PN,052
525922,45:00 - 1T,PN,052
145926,26:00 - 2T,NR,052
145926,29:00 - 2T,NR,052
325470,16:00 - 2T,NR,053
450126,40:00 - 2T,NR,053
450126,+2 - 2T,NR,053
304670,44:00 - 2T,NR,055
188156,10:00 - 1T,NR,057
160618,28:00 - 1T,NR,057
340936,30:00 - 1T,NR,057
163546,19:00 - 2T,NR,057
424284,45:00 - 2T,NR,057
421067,10:00 - 1T,PN,060
188529,28:00 - 1T,NR,060
398549,39:00 - 1T,NR,060
424594,44:00 - 1T,NR,060
188529,19:00 - 2T,NR,060
296193,14:00 - 2T,NR,061
304035,24:00 - 2T,NR,061
176402,+2 - 1T,NR,062
187583,34:00 - 2T,CT,062
361133,15:00 - 1T,NR,063
162890,26:00 - 2T,PN,063
162890,35:00 - 2T,NR,063
178297,42:00 - 1T,NR,064
184264,22:00 - 2T,NR,066
462612,03:00 - 1T,NR,068
464709,28:00 - 1T,NR,068
378323,32:00 - 1T,NR,068
401122,25:00 - 1T,NR,069
435097,28:00 - 1T,NR,069
427516,41:00 - 2T,NR,069
291901,12:00 - 1T,NR,070
508082,30:00 - 1T,NR,070
187464,06:00 - 2T,NR,070
307285,33:00 - 2T,NR,072
298013,38:00 - 2T,NR,073
303907,42:00 - 1T,NR,074
385391,41:00 - 2T,NR,074
185702,27:00 - 1T,NR,077
431932,43:00 - 2T,NR,077
180872,16:00 - 2T,PN,079
315090,37:00 - 1T,PN,080
148594,+1 - 1T,PN,080
165829,42:00 - 2T,NR,080
350220,22:00 - 1T,PN,081
368183,10:00 - 1T,NR,082
178915,05:00 - 2T,NR,083
296887,+3 - 2T,NR,083
311270,30:00 - 1T,NR,086
145829,34:00 - 2T,NR,086
355646,08:00 - 2T,NR,089
188529,24:00 - 2T,NR,089
188529,43:00 - 2T,NR,089
296193,11:00 - 1T,NR,090
166508,26:00 - 1T,NR,090
177240,34:00 - 2T,NR,090
161751,+1 - 2T,NR,090
308645,20:00 - 1T,CT,092
371158,39:00 - 1T,NR,092
466793,13:00 - 2T,NR,092
316034,20:00 - 2T,NR,092
173807,19:00 - 2T,NR,093
334205,+1 - 2T,CT,095
340161,10:00 - 1T,NR,099
155650,+2 - 1T,PN,099
292467,40:00 - 2T,NR,099
409168,26:00 - 1T,NR,100
414567,39:00 - 1T,NR,100
350792,25:00 - 2T,NR,100
297136,29:00 - 2T,PN,100
171574,34:00 - 2T,NR,103
393357,05:00 - 1T,NR,104
393357,10:00 - 2T,NR,104
163722,41:00 - 2T,NR,104
186586,07:00 - 1T,NR,106
393315,23:00 - 1T,NR,106
188529,43:00 - 1T,PN,106
457692,11:00 - 1T,NR,107
181198,12:00 - 1T,NR,109
293986,17:00 - 2T,NR,109
143841,08:00 - 2T,NR,111
177911,17:00 - 2T,NR,111
384570,06:00 - 1T,NR,113
298863,09:00 - 1T,FT,113
347957,20:00 - 1T,NR,113
453814,20:00 - 2T,NR,113
519630,30:00 - 1T,NR,114
519630,26:00 - 2T,PN,114
291387,34:00 - 2T,NR,114
291387,38:00 - 2T,NR,114
533525,43:00 - 1T,NR,117
179696,01:00 - 2T,NR,117
415053,06:00 - 2T,NR,117
415053,42:00 - 2T,NR,117
185520,42:00 - 1T,PN,118
306716,30:00 - 2T,NR,118
368187,01:00 - 1T,NR,119
187984,17:00 - 2T,NR,119
144392,11:00 - 1T,NR,120
530526,17:00 - 1T,NR,120
392068,20:00 - 1T,NR,120
172162,38:00 - 2T,PN,122
300941,+3 - 2T,NR,122
307569,44:00 - 1T,NR,124
167244,07:00 - 1T,NR,125
508082,09:00 - 1T,NR,125
179411,21:00 - 2T,NR,125
508082,42:00 - 2T,NR,125
177240,20:00 - 2T,NR,127
382379,03:00 - 1T,PN,131
382379,13:00 - 2T,NR,131
523187,36:00 - 2T,NR,131
184326,+6 - 2T,PN,131
305902,11:00 - 2T,NR,133
178169,14:00 - 2T,NR,133
313743,09:00 - 1T,NR,135
389635,25:00 - 1T,NR,135
171686,36:00 - 2T,PN,135
187183,27:00 - 1T,NR,137
295611,+1 - 1T,NR,138
178297,38:00 - 1T,NR,141
374183,42:00 - 1T,NR,141
318678,33:00 - 2T,NR,141
369721,25:00 - 1T,NR,146
152739,34:00 - 1T,FT,146
341758,37:00 - 2T,NR,146
567831,21:00 - 1T,NR,148
187984,16:00 - 1T,NR,149
442424,24:00 - 1T,NR,149
309315,+1 - 1T,NR,149
346437,42:00 - 1T,NR,150
296145,09:00 - 2T,NR,151
307954,37:00 - 2T,NR,151
164112,+2 - 2T,NR,151
165481,16:00 - 2T,NR,152
175899,24:00 - 2T,NR,152
530526,+3 - 2T,NR,152
172162,10:00 - 2T,NR,153
452871,15:00 - 2T,NR,153
304291,01:00 - 1T,NR,155
166671,39:00 - 1T,NR,155
307569,+1 - 1T,NR,155
166671,05:00 - 2T,NR,155
369698,22:00 - 1T,PN,156
172049,27:00 - 1T,NR,156
311128,05:00 - 2T,NR,156
311128,24:00 - 2T,FT,156
185378,05:00 - 2T,NR,157
522057,18:00 - 2T,NR,158
522057,25:00 - 2T,NR,158
421067,37:00 - 2T,NR,158
161751,05:00 - 1T,NR,159
166508,+1 - 1T,NR,159
368796,08:00 - 2T,NR,159
452289,22:00 - 2T,NR,159
343576,36:00 - 2T,NR,159
310477,36:00 - 2T,PN,161
343997,+4 - 2T,NR,161
169450,31:00 - 2T,NR,162
356113,06:00 - 1T,NR,164
338498,13:00 - 1T,NR,164
510097,44:00 - 2T,NR,164
305873,04:00 - 1T,NR,166
314533,12:00 - 1T,NR,166
311813,17:00 - 2T,NR,166
163378,35:00 - 2T,NR,166
350741,17:00 - 1T,NR,168
313743,39:00 - 1T,FT,168
162647,18:00 - 1T,NR,173
431905,16:00 - 2T,CT,173
401831,12:00 - 1T,NR,175
521058,22:00 - 1T,NR,175
542913,28:00 - 1T,NR,175
383402,29:00 - 1T,NR,175
157989,05:00 - 2T,NR,175
171747,24:00 - 1T,PN,177
187984,08:00 - 2T,NR,177
337959,22:00 - 2T,NR,177
138279,45:00 - 2T,NR,177
172731,34:00 - 1T,NR,179
460198,42:00 - 1T,NR,179
460198,13:00 - 2T,NR,179
337193,45:00 - 1T,NR,181
421785,37:00 - 2T,NR,181
155566,08:00 - 1T,NR,182
303845,43:00 - 1T,NR,182
172049,02:00 - 2T,NR,183
296885,15:00 - 1T,NR,185
296885,08:00 - 2T,NR,185
175828,39:00 - 2T,NR,185
165474,+2 - 2T,NR,185
167617,31:00 - 2T,NR,186
167617,+1 - 2T,NR,186
161751,25:00 - 2T,NR,187
297954,34:00 - 2T,NR,187
143924,12:00 - 2T,NR,188
452289,+3 - 2T,NR,188
132803,40:00 - 1T,NR,190
132803,16:00 - 2T,NR,190
393898,16:00 - 1T,NR,191
439240,19:00 - 1T,NR,191
162890,27:00 - 1T,PN,191
162890,41:00 - 1T,PN,191
393898,02:00 - 2T,NR,191
291610,18:00 - 2T,NR,191
551655,20:00 - 1T,NR,192
343997,36:00 - 1T,NR,192
