CBF,In,Out,Nº,Clube
448233,00:00 - 1T,45:00 - 2T,1,Santos/AP
513969,00:00 - 1T,45:00 - 2T,1,River/PI
292836,00:00 - 1T,INT,2,Santos/AP
350342,00:00 - 1T,45:00 - 2T,2,River/PI
694454,00:00 - 1T,23:00 - 1T,3,Santos/AP
303516,00:00 - 1T,45:00 - 2T,3,River/PI
457809,00:00 - 1T,45:00 - 2T,4,Santos/AP
637292,00:00 - 1T,45:00 - 2T,4,River/PI
311401,00:00 - 1T,33:00 - 2T,5,Santos/AP
175215,00:00 - 1T,17:00 - 2T,5,River/PI
372858,00:00 - 1T,45:00 - 2T,6,Santos/AP
320929,00:00 - 1T,45:00 - 2T,6,River/PI
291811,00:00 - 1T,45:00 - 2T,7,Santos/AP
365520,00:00 - 1T,45:00 - 2T,7,River/PI
346437,00:00 - 1T,33:00 - 2T,8,Santos/AP
184506,00:00 - 1T,29:00 - 2T,8,River/PI
142887,00:00 - 1T,23:00 - 1T,9,Santos/AP
338919,00:00 - 1T,36:00 - 2T,9,River/PI
368187,00:00 - 1T,45:00 - 2T,10,Santos/AP
323439,00:00 - 1T,29:00 - 2T,10,River/PI
187235,00:00 - 1T,45:00 - 2T,11,Santos/AP
368163,00:00 - 1T,36:00 - 2T,11,River/PI
503448,INT,45:00 - 2T,16,Santos/AP
416848,23:00 - 1T,45:00 - 2T,19,Santos/AP
459752,23:00 - 1T,45:00 - 2T,15,Santos/AP
442500,17:00 - 2T,45:00 - 2T,13,River/PI
501382,29:00 - 2T,45:00 - 2T,15,River/PI
401406,29:00 - 2T,45:00 - 2T,16,River/PI
516605,33:00 - 2T,45:00 - 2T,17,Santos/AP
695183,33:00 - 2T,45:00 - 2T,13,Santos/AP
175353,36:00 - 2T,45:00 - 2T,17,River/PI
437831,36:00 - 2T,45:00 - 2T,18,River/PI
