Game,Home,Away
086,América/MG,AVAÍ/SC
088,A.b.c./RN,Sport/PE
089,Salgueiro/PE,Vitória/BA
090,SaoBernardo/SP,Criciuma/SC
091,Nacional/AM,Coritiba/PR
092,Bragantino/SP,PontePreta/SP
094,Arapongas/PR,Figueirense/SC
097,América/RN,Atlético/PR
098,Naviraiense/MS,Paysandu/PA
099,Joinville/SC,Santos/SP
101,Luverdense/MT,Bahia/BA
106,Avaí/SC,América/MG
107,Goiás/GO,SantoAndré/SP
108,Sport/PE,A.b.c./RN
110,Criciuma/SC,SaoBernardo/SP
111,Coritiba/PR,Nacional/AM
113,Botafogo/RJ,C.r.b./AL
114,Figueirense/SC,Arapongas/PR
115,Cruzeiro/MG,Resende/RJ
118,Paysandu/PA,Naviraiense/MS
119,Santos/SP,Joinville/SC
121,Bahia/BA,Luverdense/MT
122,Fortaleza/CE,Confiança/SE
127,PontePreta/SP,Nacional/AM
128,Botafogo/RJ,Figueirense/SC
131,Santos/SP,C.r.a.c./GO
133,Flamengo/RJ,A.s.a./AL
134,América/MG,Internacional/RS
136,Criciuma/SC,Salgueiro/PE
138,Figueirense/SC,Botafogo/RJ
139,Atlético/GO,Cruzeiro/MG
140,Atlético/PR,Paysandu/PA
141,C.r.a.c./GO,Santos/SP
142,Luverdense/MT,Fortaleza/CE
143,Luverdense/MT,Corinthians/SP
144,Santos/SP,Grêmio/RS
145,Internacional/RS,Salgueiro/PE
146,Palmeiras/SP,Atlético/PR
147,Fluminense/RJ,Goiás/GO
148,Nacional/AM,VascodaGama/RJ
149,Botafogo/RJ,Atlético/MG
150,Cruzeiro/MG,Flamengo/RJ
151,Corinthians/SP,Luverdense/MT
152,Grêmio/RS,Santos/SP
153,Salgueiro/PE,Internacional/RS
154,Atlético/PR,Palmeiras/SP
155,Goiás/GO,Fluminense/RJ
156,VascodaGama/RJ,Nacional/AM
157,Atlético/MG,Botafogo/RJ
158,Flamengo/RJ,Cruzeiro/MG
160,Internacional/RS,Atlético/PR
161,Goiás/GO,VascodaGama/RJ
162,Botafogo/RJ,Flamengo/RJ
171,Atlético/PR,Flamengo/RJ
172,Flamengo/RJ,Atlético/PR
