CBF,In,Out,Nº,Clube
359929,00:00 - 1T,45:00 - 2T,1,VitoriaF.C./ES
154179,00:00 - 1T,45:00 - 2T,12,Figueirense/SC
370343,00:00 - 1T,45:00 - 2T,2,VitoriaF.C./ES
186128,00:00 - 1T,45:00 - 2T,4,Figueirense/SC
452151,00:00 - 1T,45:00 - 2T,3,VitoriaF.C./ES
427914,00:00 - 1T,45:00 - 2T,7,Figueirense/SC
321857,00:00 - 1T,45:00 - 2T,4,VitoriaF.C./ES
365355,00:00 - 1T,45:00 - 2T,9,Figueirense/SC
333825,00:00 - 1T,45:00 - 2T,5,VitoriaF.C./ES
178827,00:00 - 1T,45:00 - 2T,14,Figueirense/SC
340161,00:00 - 1T,45:00 - 2T,6,VitoriaF.C./ES
376405,00:00 - 1T,45:00 - 2T,16,Figueirense/SC
399252,00:00 - 1T,45:00 - 2T,7,VitoriaF.C./ES
416189,00:00 - 1T,45:00 - 2T,17,Figueirense/SC
172362,00:00 - 1T,45:00 - 2T,8,VitoriaF.C./ES
374001,00:00 - 1T,45:00 - 2T,18,Figueirense/SC
372717,00:00 - 1T,45:00 - 2T,15,VitoriaF.C./ES
507101,00:00 - 1T,45:00 - 2T,23,Figueirense/SC
424095,00:00 - 1T,45:00 - 2T,19,VitoriaF.C./ES
432217,00:00 - 1T,45:00 - 2T,30,Figueirense/SC
151417,00:00 - 1T,45:00 - 2T,20,VitoriaF.C./ES
378019,00:00 - 1T,45:00 - 2T,31,Figueirense/SC
