CBF,In,Out,Nº,Clube
129292,00:00 - 1T,45:00 - 2T,1,Cruzeiro/MG
155508,00:00 - 1T,45:00 - 2T,84,Coritiba/PR
302436,00:00 - 1T,45:00 - 2T,2,Cruzeiro/MG
176512,00:00 - 1T,45:00 - 2T,8,Coritiba/PR
174360,00:00 - 1T,45:00 - 2T,3,Cruzeiro/MG
318254,00:00 - 1T,30:00 - 2T,11,Coritiba/PR
565329,00:00 - 1T,45:00 - 2T,4,Cruzeiro/MG
303542,00:00 - 1T,32:00 - 2T,20,Coritiba/PR
535421,00:00 - 1T,45:00 - 2T,5,Cruzeiro/MG
303922,00:00 - 1T,45:00 - 2T,22,Coritiba/PR
339876,00:00 - 1T,45:00 - 2T,6,Cruzeiro/MG
334490,00:00 - 1T,45:00 - 2T,27,Coritiba/PR
150549,00:00 - 1T,39:00 - 2T,7,Cruzeiro/MG
172411,00:00 - 1T,45:00 - 2T,34,Coritiba/PR
317751,00:00 - 1T,42:00 - 2T,11,Cruzeiro/MG
291317,00:00 - 1T,45:00 - 2T,66,Coritiba/PR
172189,00:00 - 1T,45:00 - 2T,19,Cruzeiro/MG
367123,00:00 - 1T,45:00 - 2T,76,Coritiba/PR
541523,00:00 - 1T,28:00 - 1T,29,Cruzeiro/MG
143465,00:00 - 1T,45:00 - 2T,85,Coritiba/PR
169888,00:00 - 1T,45:00 - 2T,30,Cruzeiro/MG
178303,00:00 - 1T,25:00 - 2T,91,Coritiba/PR
176729,28:00 - 1T,45:00 - 2T,25,Cruzeiro/MG
299686,25:00 - 2T,45:00 - 2T,33,Coritiba/PR
387255,30:00 - 2T,45:00 - 2T,7,Coritiba/PR
309584,32:00 - 2T,45:00 - 2T,26,Coritiba/PR
337172,39:00 - 2T,45:00 - 2T,99,Cruzeiro/MG
158615,42:00 - 2T,45:00 - 2T,15,Cruzeiro/MG
