CBF,Time,Type,Game
567555,03:00 - 2T,NR,198
308624,23:00 - 2T,NR,198
360293,34:00 - 2T,NR,198
360293,36:00 - 2T,NR,198
419646,03:00 - 1T,NR,201
166053,16:00 - 1T,NR,201
348899,+1 - 1T,NR,201
353336,10:00 - 2T,NR,201
166943,15:00 - 2T,NR,201
162905,29:00 - 1T,NR,271
120743,+1 - 2T,NR,271
337194,29:00 - 1T,NR,307
183840,28:00 - 2T,PN,307
162905,15:00 - 2T,NR,317
170563,14:00 - 1T,NR,331
314287,21:00 - 1T,PN,331
180751,28:00 - 2T,NR,331
120743,34:00 - 2T,NR,331
321556,10:00 - 2T,NR,336
321556,25:00 - 2T,NR,336
148961,19:00 - 1T,NR,340
176981,+4 - 2T,PN,340
189004,28:00 - 2T,Andre Vinicius Lima de Oliveira,341
330720,12:00 - 1T,NR,344
332261,04:00 - 2T,NR,344
169274,16:00 - 1T,FT,357
162905,21:00 - 2T,NR,357
391953,41:00 - 1T,NR,359
148961,30:00 - 1T,NR,360
165391,+3 - 1T,NR,360
293172,40:00 - 2T,NR,360
172203,17:00 - 2T,CT,363
351920,05:00 - 2T,NR,368
181681,14:00 - 2T,PN,368
391953,37:00 - 2T,NR,368
328312,06:00 - 2T,CT,370
403112,15:00 - 2T,NR,370
184685,36:00 - 2T,NR,371
349752,21:00 - 1T,NR,376
349752,31:00 - 1T,NR,376
166124,01:00 - 2T,NR,376
440927,29:00 - 2T,NR,376
389611,45:00 - 2T,NR,376
554821,16:00 - 1T,NR,380
554821,26:00 - 1T,NR,380
