CBF,In,Out,Nº,Clube
346401,00:00 - 1T,45:00 - 2T,1,PontePreta/SP
153971,00:00 - 1T,45:00 - 2T,1,Operário/PR
293385,00:00 - 1T,45:00 - 2T,3,PontePreta/SP
345933,00:00 - 1T,45:00 - 2T,2,Operário/PR
340115,00:00 - 1T,45:00 - 2T,5,PontePreta/SP
181824,00:00 - 1T,45:00 - 2T,3,Operário/PR
444618,00:00 - 1T,45:00 - 2T,6,PontePreta/SP
356106,00:00 - 1T,45:00 - 2T,4,Operário/PR
465659,00:00 - 1T,45:00 - 2T,8,PontePreta/SP
315023,00:00 - 1T,41:00 - 2T,5,Operário/PR
459195,00:00 - 1T,45:00 - 2T,17,PontePreta/SP
404367,00:00 - 1T,45:00 - 2T,6,Operário/PR
521439,00:00 - 1T,45:00 - 2T,19,PontePreta/SP
170011,00:00 - 1T,INT,7,Operário/PR
367869,00:00 - 1T,45:00 - 2T,23,PontePreta/SP
309584,00:00 - 1T,19:00 - 2T,8,Operário/PR
502001,00:00 - 1T,45:00 - 2T,25,PontePreta/SP
178294,00:00 - 1T,45:00 - 2T,9,Operário/PR
161437,00:00 - 1T,45:00 - 2T,50,PontePreta/SP
394762,00:00 - 1T,32:00 - 2T,10,Operário/PR
398368,00:00 - 1T,45:00 - 2T,99,PontePreta/SP
291732,00:00 - 1T,19:00 - 2T,11,Operário/PR
378811,INT,45:00 - 2T,14,Operário/PR
311487,19:00 - 2T,45:00 - 2T,18,Operário/PR
308392,19:00 - 2T,45:00 - 2T,17,Operário/PR
341345,32:00 - 2T,45:00 - 2T,19,Operário/PR
177920,41:00 - 2T,45:00 - 2T,16,Operário/PR
