CBF,In,Out,Nº,Clube
298952,00:00 - 1T,32:00 - 1T,1,Novorizontino/SP
334836,00:00 - 1T,45:00 - 2T,1,Ituano/SP
352632,00:00 - 1T,45:00 - 2T,2,Novorizontino/SP
310646,00:00 - 1T,45:00 - 2T,2,Ituano/SP
166943,00:00 - 1T,45:00 - 2T,3,Novorizontino/SP
378323,00:00 - 1T,45:00 - 2T,3,Ituano/SP
165939,00:00 - 1T,45:00 - 2T,4,Novorizontino/SP
500953,00:00 - 1T,45:00 - 2T,4,Ituano/SP
387277,00:00 - 1T,45:00 - 2T,5,Novorizontino/SP
318691,00:00 - 1T,45:00 - 2T,5,Ituano/SP
405127,00:00 - 1T,45:00 - 2T,6,Novorizontino/SP
432146,00:00 - 1T,45:00 - 2T,6,Ituano/SP
387511,00:00 - 1T,33:00 - 2T,7,Novorizontino/SP
415195,00:00 - 1T,40:00 - 2T,7,Ituano/SP
330362,00:00 - 1T,33:00 - 2T,8,Novorizontino/SP
305811,00:00 - 1T,11:00 - 2T,8,Ituano/SP
363149,00:00 - 1T,17:00 - 2T,10,Novorizontino/SP
184899,00:00 - 1T,45:00 - 2T,9,Ituano/SP
335362,00:00 - 1T,45:00 - 2T,11,Novorizontino/SP
338498,00:00 - 1T,34:00 - 2T,10,Ituano/SP
 33606,00:00 - 1T,17:00 - 2T,10,Novorizontino/SP
380299,00:00 - 1T,45:00 - 2T, 1,Ituano/SP
433789,32:00 - 1T,45:00 - 2T,12,Novorizontino/SP
337264,11:00 - 2T,45:00 - 2T,13,Ituano/SP
442914,11:00 - 2T,45:00 - 2T,19,Ituano/SP
326257,17:00 - 2T,45:00 - 2T,20,Novorizontino/SP
314382,17:00 - 2T,45:00 - 2T,9,Novorizontino/SP
447189,33:00 - 2T,45:00 - 2T,22,Novorizontino/SP
464026,33:00 - 2T,45:00 - 2T,19,Novorizontino/SP
173504,34:00 - 2T,45:00 - 2T,17,Ituano/SP
341133,40:00 - 2T,45:00 - 2T,20,Ituano/SP
