CBF,In,Out,Nº,Clube
176288,00:00 - 1T,45:00 - 2T,1,GuaranydeSobral/CE
341119,00:00 - 1T,45:00 - 2T,1,Paragominas/PA
430366,00:00 - 1T,45:00 - 2T,2,GuaranydeSobral/CE
305757,00:00 - 1T,45:00 - 2T,3,Paragominas/PA
394055,00:00 - 1T,45:00 - 2T,3,GuaranydeSobral/CE
175123,00:00 - 1T,45:00 - 2T,4,Paragominas/PA
329434,00:00 - 1T,45:00 - 2T,4,GuaranydeSobral/CE
634377,00:00 - 1T,37:00 - 2T,7,Paragominas/PA
404356,00:00 - 1T,45:00 - 2T,5,GuaranydeSobral/CE
364825,00:00 - 1T,25:00 - 2T,10,Paragominas/PA
408812,00:00 - 1T,45:00 - 2T,6,GuaranydeSobral/CE
453712,00:00 - 1T,16:00 - 2T,11,Paragominas/PA
529371,00:00 - 1T,45:00 - 2T,7,GuaranydeSobral/CE
291329,00:00 - 1T,45:00 - 2T,13,Paragominas/PA
172013,00:00 - 1T,45:00 - 2T,8,GuaranydeSobral/CE
421101,00:00 - 1T,45:00 - 2T,19,Paragominas/PA
349712,00:00 - 1T,45:00 - 2T,9,GuaranydeSobral/CE
291610,00:00 - 1T,45:00 - 2T,23,Paragominas/PA
168366,00:00 - 1T,45:00 - 2T,10,GuaranydeSobral/CE
368198,00:00 - 1T,45:00 - 2T,27,Paragominas/PA
533812,00:00 - 1T,45:00 - 2T,11,GuaranydeSobral/CE
423893,00:00 - 1T,37:00 - 2T,28,Paragominas/PA
442906,16:00 - 2T,45:00 - 2T,20,Paragominas/PA
577473,25:00 - 2T,45:00 - 2T,30,Paragominas/PA
581239,37:00 - 2T,45:00 - 2T,9,Paragominas/PA
393883,37:00 - 2T,45:00 - 2T,5,Paragominas/PA
