CBF,Apelido,Nome
146379,Michel Alves,Michel Aluizio da Cr ...
159483,Gledson,Gledson Ribeiro dos ...
186825,Elson,Elson Ferreira de Souza
158204,Luis Ricar ...,Luis Ricardo Silva U ...
430895,Yotun,Victor Yoshimar Yotu ...
160789,Lima Willian Lanes de,Lima
165075,Eder,Eder Luis de Oliveira
134212,Valdomiro  ...,Valdomiro Duarte de ...
402413,Carlos,Carlos Vicente Tenor ...
151104,Ferdinando,Ferdinando Pereira Leda
307406,Luan Garcia,Luan Garcia Teixeira
160357,Rogerio,Rogerio Rodrigues da...
357424,Fellipe,Fellipe Ramos Ignez  ...
176908,Diogo,Diogo Luis Santo
317751,Alisson,Alisson Euler de Fre ...
138048,Correa Carlos Rodrigo,Correa
156194,Renato,Renato Assis da Silva
190258,Romao,Luiz Fernando Borges...
167111,Sandro,Sandro Laurindo da Silva
136911,Souza Willamis de,Souza Silva
175011,Dakson,Dakson Soares da Silva
188158,Matheus,Matheus Humberto Max...
176350,Nei,Claudinei Cardoso Fe ...
139461,Lauro,Lauro Junior Batista...
170095,Pedro Ken,Pedro Ken Marimoto M ...
318248,Lucas,Lucas Rodrigues Ramo...
140053,Wendel Ger ...,Wendel Geraldo Mauri ...
317006,Ivan,Ivan Aparecido Martins
143841,Edmilson d ...,Edmilson dos Santos  ...
318691,Bruno Lima,Bruno Felipe Lima Te ...
186413,Abuda,Jucimar Lima Pacheco
178704,Mineiro,Moises Lima Magalhaes
165094,Diogo Silva,Diogo Jose Goncalves ...
186104,Henrique C ...,Henrique Campos Santos
165657,Thiago Hen ...,Thiago Henrique Silv ...
431476,Juan,Juan Jose Arraya
292253,Rafael,Rafael Cabral Barbosa
141698,Felipe Luiz,Felipe Ventura ...
136752,Edu Dracena,Eduardo Luis Abonizi ...
137644,Leo Moura,Leonardo da Silva Moura
125101,Leo,Leonardo Lourenco Bastos
402537,Marcos,Marcos Andres Gonzal...
291542,Galhardo Rafael,Galhardo de Souza
172361,Ramon,Ramon de Moraes Motta
161941,Arouca Marcos,Arouca da Silva
302196,Lima Rafael,Lima Pereira
141516,Durval,Severino dos Ramos D ...
159607,Elias,Elias Mendes Trindade
