Competição,Ano,Jogo
Copa do Brasil,2013,1
Copa do Brasil,2013,2
Copa do Brasil,2013,45
Copa do Brasil,2013,47
Copa do Brasil,2013,51
Copa do Brasil,2013,55
Copa do Brasil,2013,60
Copa do Brasil,2013,62
Copa do Brasil,2013,64
Copa do Brasil,2013,66
Copa do Brasil,2013,72
Copa do Brasil,2013,73
Copa do Brasil,2013,81
Copa do Brasil,2013,112
Copa do Brasil,2013,116
Copa do Brasil,2013,117
Serie A,2013,158
Serie A,2013,171
Copa do Brasil,2013,173
Copa do Brasil,2013,174
Copa do Brasil,2013,175
Copa do Brasil,2013,176
Copa do Brasil,2013,177
Copa do Brasil,2013,178
Copa do Brasil,2013,179
Copa do Brasil,2013,180
Copa do Brasil,2013,181
Copa do Brasil,2013,182
Copa do Brasil,2013,183
Copa do Brasil,2013,184
Copa do Brasil,2013,185
Copa do Brasil,2013,186
Copa do Brasil,2013,187
Copa do Brasil,2013,188
Serie C,2013,189
Copa do Brasil,2013,189
Serie C,2013,190
Copa do Brasil,2013,190
Serie C,2013,191
Serie D,2013,191
Copa do Brasil,2013,191
Serie C,2013,192
Serie D,2013,192
Copa do Brasil,2013,192
Serie C,2013,193
Serie D,2013,193
Copa do Brasil,2013,193
Serie C,2013,194
Serie D,2013,194
Copa do Brasil,2013,194
Serie D,2013,195
Copa do Brasil,2013,195
Serie D,2013,196
Copa do Brasil,2013,196
Serie D,2013,197
Copa do Brasil,2013,197
Serie D,2013,198
Copa do Brasil,2013,198
Serie D,2013,199
Copa do Brasil,2013,199
Serie D,2013,200
Copa do Brasil,2013,200
Serie D,2013,201
Copa do Brasil,2013,201
Serie D,2013,202
Copa do Brasil,2013,202
Serie D,2013,203
Copa do Brasil,2013,203
Serie D,2013,204
Copa do Brasil,2013,204
Serie D,2013,205
Copa do Brasil,2013,205
Serie D,2013,206
Copa do Brasil,2013,206
Serie D,2013,207
Copa do Brasil,2013,207
Serie D,2013,208
Copa do Brasil,2013,208
Serie D,2013,209
Copa do Brasil,2013,209
Serie D,2013,210
Copa do Brasil,2013,210
Serie D,2013,211
Copa do Brasil,2013,211
Serie D,2013,212
Copa do Brasil,2013,212
Serie D,2013,213
Copa do Brasil,2013,213
Serie D,2013,214
Copa do Brasil,2013,214
Serie D,2013,215
Copa do Brasil,2013,215
Serie D,2013,216
Copa do Brasil,2013,216
Serie D,2013,217
Copa do Brasil,2013,217
Serie D,2013,218
Copa do Brasil,2013,218
Serie D,2013,219
Copa do Brasil,2013,219
Serie D,2013,220
Copa do Brasil,2013,220
Serie C,2013,221
Serie D,2013,221
Copa do Brasil,2013,221
Serie A,2013,222
Serie C,2013,222
Serie D,2013,222
Copa do Brasil,2013,222
Serie C,2013,223
Serie D,2013,223
Copa do Brasil,2013,223
Serie C,2013,224
Serie D,2013,224
Copa do Brasil,2013,224
Serie C,2013,225
Serie D,2013,225
Copa do Brasil,2013,225
Serie C,2013,226
Serie D,2013,226
Copa do Brasil,2013,226
Serie C,2013,227
Serie D,2013,227
Copa do Brasil,2013,227
Serie C,2013,228
Serie D,2013,228
Copa do Brasil,2013,228
Serie C,2013,229
Serie D,2013,229
Copa do Brasil,2013,229
Serie C,2013,230
Serie D,2013,230
Copa do Brasil,2013,230
Serie C,2013,231
Serie D,2013,231
Copa do Brasil,2013,231
Serie C,2013,232
Serie D,2013,232
Copa do Brasil,2013,232
Serie C,2013,233
Serie D,2013,233
Copa do Brasil,2013,233
Serie C,2013,234
Serie D,2013,234
Copa do Brasil,2013,234
Serie C,2013,235
Serie D,2013,235
Copa do Brasil,2013,235
Serie C,2013,236
Serie D,2013,236
Copa do Brasil,2013,236
Serie C,2013,237
Serie D,2013,237
Copa do Brasil,2013,237
Serie C,2013,238
Serie D,2013,238
Copa do Brasil,2013,238
Serie C,2013,239
Serie D,2013,239
Copa do Brasil,2013,239
Serie C,2013,240
Serie D,2013,240
Copa do Brasil,2013,240
Serie C,2013,241
Serie D,2013,241
Copa do Brasil,2013,241
